ionMz,Metabolite,KEGG,All metabolite names
129.0194,Itaconate,C00490;C02226,Citraconic acid / Itaconic acid
129.056,4-Methyl-2-oxopentanoate,C00233;C00671;C03465,2-Keto-3-methyl-valerate / 3-Methyl-2-oxovaleric acid / Ketoleucine
129.1035,N-Acetylputrescine,C02714,N-Acetylputrescine
130.0511,5-Aminolevulinic acid,C00430;C01157;C01165;C03741,(S)-4-Amino-5-oxopentanoate / 5-Aminolevulinic acid / Glutamic-gamma-semialdehyde / Hydroxyproline
130.0876,(Iso)Leucine,C00123;C00407,Isoleucine / Leucine
131.035,Glutarate,C00489;C00900;C03589;C04181;C06010;C11838,"(4S)-4,5-Dihydroxypentan-2,3-dione / (S)-2-Acetolactate / 2-Acetolactate / 3-Hydroxy-3-methyl-2-oxobutanoic acid / 4-Hydroxy-2-oxopentanoate / Glutaric acid"
131.0466,Asparagine,C00152;C02642,Asparagine / Ureidopropionic acid
131.0828,Ornithine,C00077;C01602,Ornithine
132.0305,Aspartate,C00049,Aspartic acid
133.0144,Malate,C00149;C00497,(R)-Malate / Malic acid
133.0508,Deoxyribose,C01801;C04039;C04272;C06257,"(R)-2,3-Dihydroxy-isovalerate / 1-Deoxy-xylulose / 2,3-Dihydroxyisovaleric acid / Deoxyribose"
135.031,Hypoxanthine,C00262,Hypoxanthine
135.0456,Phenyl acetate,C03765;C07086,4-Hydroxyphenylacetaldehyde / Benzeneacetic acid
136.0404,2-Aminobenzoic acid,C00108;C00568,2-Aminobenzoic acid / p-Aminobenzoic acid
138.9798,Acetyl-P,C00227;C05682,Acetylphosphate / Phosphonoacetate
139.976,Carbamoyl phosphate,C00169,Carbamoylphosphate
142.0873,Crotonobetaine,C04114;C10172,Crotonobetaine / Stachydrine
143.108,Octanoic acid,C06423,Caprylic acid
145.0145,Oxoglutarate,C00026,Oxoglutaric acid / alpha-Ketoglutarate
145.0508,2-Aceto-2-hydroxybutanoate,C00966;C06006;C06762;C14463;C16272,(R)-3-Hydroxy-3-methyl-2-oxopentanoate / 2-Aceto-2-hydroxy-butyrate / 2-Dehydropantoate / 3-Hydroxy-5-oxohexanoate / 4-Hydroxy-2-oxohexanoic acid
145.0621,Glutamine,C00064;C00819;C05100,Glutamine / Ureidoisobutyric acid
145.0986,Lysine,C00047,Lysine
145.1098,gamma-Butyrobetaine,C01181,gamma-Butyrobetaine
146.046,Glutamate,C00025;C00217;C00979,Glutamate / Glutamic acid / O-Acetylserine
147.0299,Hydroxyglutarate,C02630;C03196;C06032,2-Hydroxyglutaric acid / Erythro-3-Methylmalate
147.0664,"(R) 2,3-Dihydroxy-3-methylvalerate",C00522;C06007,"(R) 2,3-Dihydroxy-3-methylvalerate / (R)-Pantoate"
148.044,Methionine,C00073;C00855,Methionine
149.0096,Tartaric acid,C00552;C00898,Meso-Tartaric acid / Tartaric acid
149.0455,Pentose,C00121;C00181;C00216;C00259;C00309;C00310;C00312;C00476;C00508;C01508;C08353;C16639,Arabinose / Lyxose / Ribose / Ribulose / Threo-2-pentulose / Xylose / Xylulose / beta-Ribopyranose / beta-ribofuranose
150.0425,Guanine,C00242,Guanine
151.0264,Xanthine,C00385,Xanthine
151.0609,Xylitol,C00474;C00532,Arabitol / Ribitol
152.0021,3-Sulfino-L-alanine,C00606,3-Sulfinoalanine
152.0356,3-Hydroxyanthranilate,C00632,3-Hydroxyanthranilic acid
152.0716,Dopamine,C03758,Dopamine
153.0193,2-Pyrocatechuic acid,C00196,2-Pyrocatechuic acid
154.0623,Histidine,C00135,Histidine
154.9751,2-Phosphoglycolate,C00988,Phosphoglycolic acid
155.0099,Orotate,C00295,Orotic acid
157.0256,Dihydroorotate,C00337,"4,5-Dihydroorotic acid"
157.0504,Isopropylmaleate,C02631,Isopropylmaleate
157.0646,(2-Naphthyl)methanol,C02909;C14089,(2-Naphthyl)methanol / 1-Hydroxymethylnaphthalene
159.03,Oxoadipate,C00322,Oxoadipic acid
159.0773,Alanyl-alanine,C00993,Alanyl-alanine
160.0616,Aminoadipate,C00956,Aminoadipic acid
161.0455,2-Dehydro-3-deoxy-rhamnonate,C02488;C03979,2-Dehydro-3-deoxy-rhamnonate / 2-Ethylmalate
163.0397,3-Hydroxycinnamic acid,C00166;C12621,3-Hydroxycinnamic acid / Phenylpyruvic acid
163.0614,2-Deoxyglucose,C00507;C00586;C00861;C01019;C01721;C02338;C02476;C20835;C20836,2-Deoxyglucose / Fucose / Fuculose / Rhamnose / Rhamnulose / alpha-Fucopyranose / alpha-Fucose / alpha-Rhamnose / beta-Fucopyranose / beta-Rhamnose
164.038,Met-oxide,C02989;C15998;C15999,Methionine (R)-S-oxide / Methionine sulfoxide / methionine (S)-S-oxide
164.0717,Phenylalanine,C00079;C02265,Phenylalanine
165.0551,3-(2-Hydroxyphenyl)propanoate,C05607;C11457,3-(3-Hydroxyphenyl)propanoic acid / 3-(3-Hydroxyphenyl)propionate / Phenyllactic acid
166.0507,Pyridoxal,C00250,Pyridoxal
166.9752,Phosphoenolpyruvate,C00074,Phosphoenolpyruvic acid
167.021,Urate,C00366,Uric acid
167.0827,Pyridoxamine,C00534,Pyridoxamine
168.0667,Pyridoxine,C00314,Pyridoxine
169.0503,"3,4-Dihydroxyphenylethyleneglycol",C05576,"3,4-Dihydroxyphenylglycol"
170.0454,"2,3,4,5-Tetrahydrodipicolinate",C03972,Tetrahydrodipicolinate
170.0825,Homoserine lactone,C11837,Homoserine lactone
171.0064,sn-Glycerol 3-phosphate,C00093;C00623;C02979;C03189,Glycerol 2-phosphate / Glycerol 3-phosphate / Sn-Glycerol-1-phosphate / glycerol-3-phosphate
172.0615,Acetyl-Glu-semialdehyde,C01250,N-Acetyl-glutamate 5-semialdehyde
173.0092,Aconitate,C00417;C02341,cis-Aconitic acid / trans-Aconitic acid
173.0455,Shikimate,C00493;C04236,2-Isopropyl-3-oxosuccinate / Shikimic acid
173.0932,Acetylornithine,C00437,N-Acetylornithine
173.1041,Arginine,C00062,Arginine
174.0409,Acetyl-Asp,C01042,N-Acetyl-aspartic acid
174.088,Citrulline,C00327,Citrulline
175.0245,Hexuronic acid,C00072;C04053;C04349,"(4S)-4,6-Dihydroxy-2,5-dioxohexanoate / 5-Dehydro-4-deoxy-glucuronate / Ascorbic acid"
175.0364,Ureidosuccinic acid,C00438,Ureidosuccinic acid
175.061,3-Propylmalate,C02504;C04411,2-Isopropylmalic acid / 3-Carboxy-3-hydroxy-isocaproate / 3-Isopropylmalate
177.0405,Glucono-lactone,C00198;C00204;C01216;C03383;C03926,2-Dehydro-3-deoxy-galactonate / 2-Keto-3-deoxy-gluconic acid / 3-Dehydro-2-deoxy-gluconate / Galactonolactone / Gluconolactone
178.017,S-Carboxymethyl-Cys,C03727,S-Carboxymethyl-cysteine
178.051,N-Acetylanthranilate,C06332,N-Acetylanthranilate
179.036,3-(4-Hydroxyphenyl)pyruvate,C01179;C12623,"4-Hydroxyphenylpyruvic acid / Trans-2,3-Dihydroxycinnamate"
179.0561,2-Deoxygluconate,C00031;C00095;C00124;C00137;C00159;C00221;C00247;C00267;C00962;C00984;C01487;C01934;C02782,2-Deoxygluconate / Allose / Alpha-Galactose / Fructose / Galactose / Glucose / Inositol / Mannose / Myoinositol / Rhamnonate / Sorbose / alpha-Glucose / b-Glucose / beta-Galactose
180.0664,Tyrosine,C00082;C06420,Tyrosine
181.051,3-(4-Hydroxyphenyl)lactate,C04044;C12622,"3-(2,3-Dihydroxyphenyl)propanoate / 3-(2,3-Dihydroxyphenyl)propionic acid / cis-3-(3-Carboxyethenyl)-3,5-cyclohexadiene-1,2-diol"
183.0061,"L-3,4-Dihydroxybutan-2-one 4-P",C15556,"1-Deoxy-glycero-tetrulose 4-phosphate / 3,4-Dihydroxy-2-butanone-4-P / 3,4-Dihydroxybutan-2-one 4-phosphate"
184.0017,Phosphoserine,C01005;C02532,O-Phospho-serine / Phosphoserine
184.9853,Phosphoglycerate,C00197;C00597;C00631,2-Phospho-glyceric acid / 3-Phospho-glycerate / 3-Phosphoglycerate
187.1459,"7,8-Diaminononanoate",C01037,"7,8-Diaminononanoate"
188.0566,Acetyl-Glu,C00624,N-Acetylglutamic acid
189.0022,Oxalosuccinate,C05379,Oxalosuccinic acid
189.0404,3-Dehydroquinate,C00944,3-Dehydroquinate
189.088,Diaminopimelate,C00666;C00680,"Diaminopimelic acid / Meso-2,6-Diaminoheptanedioate"
190.055,Acetyl-Met,C02712,N-Acetyl-methionine
191.0196,(Iso)Citrate,C00158;C00311;C00679;C02780;C03921;C04575,"2,3-Diketo-gulonate / 2,5-Diketo-gluconate / 2-Dehydro-3-deoxy-glucarate / 5-Dehydro-4-deoxy-glucarate / Citric acid / Isocitric acid"
191.0561,Quinate,C00296,Quinate
192.0666,3-Carbamoyl-2-phenylpropionaldehyde,C16587;C16595,"3-Carbamoyl-2-phenylpropionaldehyde / 4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one"
193.0352,Hexuronate,C00191;C00333;C00558;C00618;C00905;C01062;C06473,2-Dehydro-gluconate / 3-Dehydro-gulonate / 5-Keto-gluconate / Fructuronate / Galacturonate / Glucuronic acid / Tagaturonate
193.0719,Methyl-beta-galactoside,C03619,Methyl-beta-galactoside
194.0686,"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine",C01300,"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine / 6-Hydroxymethyl dihydropterin"
195.0508,Hexonic acid,C00257;C00514;C00770;C00800;C00817;C00880;C15930,Altronate / Galactonate / Galactonic acid / Gluconic acid / Gulonate / Idonate / Mannonate
198.088,gamma-Glutamyl-beta-aminopropiononitrile,C06114,gamma-Glutamyl-beta-aminopropiononitrile
199.0014,D-Erythrose 4-phosphate,C00279,Erythrose 4-phosphate
199.1703,Dodecanoic acid (FA12:0),C02679,Dodecanoate (N-C12:0)
203.0348,"1,4-Dihydroxy-2-naphthoate",C03657,"1,4-Dihydroxy-2-naphthoic acid"
203.0824,Tryptophan,C00078,Tryptophan
204.0508,Lipoamide,C00248,Lipoamide
205.0353,"(R)-2-Hydroxybutane-1,2,4-tricarboxylate",C00725;C02225;C04593;C16241,"(2R,3S)-2-Hydroxybutane-1,2,3-tricarboxylate / Lipoic acid / Methylcitric acid / Methylisocitric acid / lipoate"
211.9967,2-Amino-3-oxo-4-phosphonooxybutyrate,C03082;C07335,2-Amino-3-oxo-4-phosphonooxybutyrate / Aspartyl-4-phosphate
212.9812,2-Oxo-3-hydroxy-4-phosphobutanoate,C06054,2-Oxo-3-hydroxy-4-phosphobutanoic acid
213.0161,2-Deoxy-D-ribose 1-phosphate,C00672;C00673;C11437,1-Deoxy-xylulose 5-phosphate / Deoxyribose 1-phosphate / Deoxyribose 5-phosphate
214.0117,O-Phospho-4-hydroxy-L-threonine,C06055,O-Phospho-4-hydroxy-threonine
214.0491,sn-Glycero-3-phosphoethanolamine,C01233,Glycerylphosphorylethanolamine
215.0326,2-C-Methyl-D-erythritol 4-phosphate,C11434,2-C-Methyl-erythritol-4-phosphate
216.1344,gamma-Glutamyl-putrescine,C15699,gamma-Glutamyl-putrescine
218.0332,4-Amino-2-methyl-5-phosphomethylpyrimidine,C04556,4-Amino-2-methyl-5-phosphomethylpyrimidine / 4-amino-5-phosphonooxymethyl-2-methylpyrimidine
218.1034,Pantothenate,C00864,Pantothenic acid
220.0487,L-Histidinol phosphate,C01100,Histidinol phosphate
220.0825,N-Acetyl-D-glucosamine,C00140;C00645;C05021,N-Acetyl-b-galactosamine / N-Acetyl-glucosamine / N-Acetylglucosamine / N-Acetylmannosamine
221.0668,6-Acetyl-D-glucose,C02655,6-Acetyl-glucose
225.0403,Chorismate,C00251;C00254;C00885,Chorismate / Isochorismate / Prephenate
226.0125,L-Glutamyl 5-phosphate,C03287,Glutamic acid 5-phosphate
227.2016,Myristic acid,C06424,Myristic acid
228.0266,5-Phosphoribosylamine,C03090,5-Phosphoribosylamine
229.0119,Arabinose 5-phosphate,C00117;C00199;C00231;C00620;C01101;C01112;C03291,Arabinose 5-phosphate / Ribose-1-phosphate / Ribose-5-phosphate / Ribulose 5-phosphate / Xylulose 5-phosphate
230.0676,N2-Succinyl-glutamic acid 5-semialdehyde,C05932,N2-Succinyl-glutamic acid 5-semialdehyde
236.0782,Sepiapterin,C03684,Dyspropterin
237.0611,3-Deoxy-D-manno-octulosonate,C01187,3-Deoxy-manno-octulosonate
240.0514,"N-(2,3-Dihydroxybenzoyl)-L-serine",C04204,"2,3-Dihydroxybenzoylserine"
241.0834,Thymidine,C00214,Thymidine
242.079,Cytidine,C00475;C05711,Cytidine / gamma-Glutamyl-beta-cyanoalanine
243.0632,Uridine,C00299;C02067,Pseudouridine / Uridine
253.0119,Shikimate 3-phosphate,C03175,Shikimate 3-phosphate
253.0499,5-L-Glutamyl-taurine,C05844,5-Glutamyl-taurine
254.9905,L-Ascorbate 6-phosphate,C16186,Ascorbate 6-phosphate
257.0063,"D-Glucono-1,5-lactone 6-phosphate",C01236;C01286;C04442,2-Dehydro-3-deoxy-galactonate 6-phosphate / 2-Dehydro-3-deoxy-galactonate-6-phosphate / 2-Keto-3-deoxy-6-phosphogluconic acid / 6-Phosphonoglucono-lactone
257.1027,sn-Glycero-3-phosphocholine,C00670,Glycerophosphocholine
259.0226,Allose 6-phosphate,C00085;C00092;C00103;C00275;C00446;C00636;C00663;C00668;C01094;C01097;C01172;C01177;C02962;C03267;C03546;C04006;C05345;C06312,Allose 6-phosphate / Alpha-glucose 6-phosphate / Fructose 1-phosphate / Fructose 6-phosphate / Galactose 1-phosphate / Glucose 1-phosphate / Glucose 6-phosphate / Mannose 1-phosphate / Mannose 6-phosphate / Myo-inositol (1)-monophosphate / Myo-inositol 1-phosphate / Myo-inositol 4-phosphate / Tagatose 6-phosphate / Tagatose-6-phosphate / beta-Fructose 2-phosphate / beta-Fructose 6-phosphate / beta-Glucose 1-phosphate / beta-Glucose 6-phosphate
261.0382,D-Mannitol 1-phosphate,C00644;C01096;C02810;C06311,Galactitol 1-phosphate / Mannitol 1-phosphate / Sorbitol 6-phosphate / Sorbitol-6-phosphate
264.9518,3-Phospho-D-glyceroyl phosphate,C00236;C01159,"2,3-Diphosphoglyceric acid / 3-phospho-glyceroyl phosphate"
266.0704,S-Ribosyl-L-homocysteine,C03539,S-Ribosyl-homocysteine
267.072,2(alpha-D-Mannosyl)-D-glycerate,C11544,2(alpha-Mannosyl)-glycerate
267.2327,omega-Cyclohexylundecanoic acid,C16536,Heptadecenoic acid
273.0016,3-Dehydro-gulonate 6-phosphate,C05385;C14899,3-Dehydro-gulonate 6-phosphate / Glucuronate 1-phosphate
274.0932,"1,6-Anhydro-N-acetyl-beta-muramate",C19769,"1,6-Anhydro-N-acetyl-beta-muramate"
275.0168,6-Phosphogluconate,C00345,6-Phosphogluconic acid
275.1015,5-Amino-6-(1-D-ribitylamino)uracil,C04732,5-Amino-6-ribitylamino uracil / 5-amino-6-(ribitylamino)uracil
282.0845,Guanosine,C00387,Guanosine
288.0726,N-Succinyl-2-L-amino-6-oxoheptanedioate,C04462,N-Succinyl-2-amino-6-ketopimelate
289.0331,Sedoheptulose P,C05382;C07836;C07838;C19882,Glycero-manno-heptose 1-phosphate / Glycero-manno-heptose 7-phosphate / Sedoheptulose 7-phosphate / glycero-beta-manno-heptose 7-phosphate
289.1043,"N-Succinyl-LL-2,6-diaminoheptanedioate",C04421,"N-Succinyl-L,2,6-diaminopimelate"
290.9669,"alpha-D-Ribose 1,2-cyclic phosphate 5-phosphate",C20440,"alpha-Ribose 1,2-cyclic phosphate 5-phosphate"
304.0351,"3',5'-Cyclic CMP",C02354,"2',3'-Cyclic CMP"
305.0193,"2',3'-Cyclic UMP",C02355,"2',3'-Cyclic UMP"
305.0297,"2-(3,4-dihydroxybenzoyloxy)-4,6-dihydroxybenzoate",C04524,"2-(3,4-dihydroxybenzoyloxy)-4,6-dihydroxybenzoate"
306.0491,dCMP,C00239,dCMP
306.0762,Glutathione,C00051,Glutathione
308.0986,N-Acetylneuraminate,C00270;C19909;C19910,N-Acetyl-alpha-neuraminate / N-Acetylneuraminic acid / N-acetylneuraminate / alpha-N-acetylneuraminate
308.9787,D-Ribose 5-diphosphate,C01151;C01182,"Ribose 1,5-bisphosphate / Ribulose 1,5-bisphosphate"
313.0438,5'-Phosphoribosyl-N-formylglycineamide,C04376,5'-Phosphoribosyl-N-formylglycineamide
321.0495,dTMP,C00364,5-Thymidylic acid
321.1113,N-((R)-Pantothenoyl)-L-cysteine,C04079,Pantothenoyl-cysteine
322.0444,CMP,C00055;C05822,3'-CMP / Cytidine monophosphate
323.0285,UMP,C00105;C01168;C01368,3'-UMP / Pseudouridine 5'-phosphate / Uridine 5'-monophosphate
327.0738,2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate,C16519,2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate
328.0452,"3',5'-Cyclic AMP",C00575;C02353,"Adenosine 2',3'-cyclic phosphate / Cyclic AMP"
333.0999,Glutathione episulfonium ion,C14874,Glutathione episulfonium ion
334.0723,S-Formylglutathione,C01031,S-Formylglutathione
337.0545,AICAR,C04677,AICAR
338.0392,1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate,C04751;C15667,5-Amino-1-(5-phospho-ribosyl)imidazole-4-carboxylate / 5-carboxyamino-1-(5-phospho-ribosyl)imidazole
338.9888,"Fructose 1,6-bisphosphate",C00354;C01231;C03785;C05378,"Fructose 1,6-bisphosphate / Tagatose 1,6-bisphosphate / alpha-Glucose 1,6-bisphosphate / beta-Fructose 1,6-bisphosphate"
341.1089,Cellobiose,C00089;C00185;C00208;C00243;C00252;C01083;C05402,Cellobiose / Isomaltose / Maltose / Melibiose / Sucrose / Trehalose / alpha-Lactose
344.04,cGMP,C00942;C06194,"Cyclic GMP / Guanosine 2',3'-cyclic phosphate"
346.0556,AMP,C00020;C00362;C01367,2'-Deoxyguanosine 5'-monophosphate / 3'-AMP / Adenosine monophosphate
347.0398,IMP,C00130,Inosinic acid
348.0874,S-(Formylmethyl)glutathione,C14871,S-(Formylmethyl)glutathione
357.089,Pantetheine 4'-phosphate,C01134,Pantetheine 4'-phosphate / pantotheine 4'-phosphate
362.0506,GMP,C00144;C06193;C18239;C19968,8-oxo-dGMP / Cyclic pyranopterin monophosphate / Guanosine 3'-phosphate / Guanosine monophosphate
375.131,Riboflavin,C00255,Riboflavin
383.1181,Acetyl-maltose,C02130,Acetyl-maltose
386.999,dUDP,C01346,dUDP
388.9444,Phosphoribosyl pyrophosphate,C00119,Phosphoribosyl pyrophosphate
401.0173,dTDP,C00363,dTDP
402.0107,CDP,C00112,CDP
402.9949,UDP,C00015,Uridine 5'-diphosphate
426.0221,ADP,C00008;C00054;C00361,"ADP / Adenosine 3',5'-diphosphate / dGDP"
442.0169,GDP,C00035,Guanosine diphosphate
443.0014,XDP,C01337,XDP
466.9674,dUTP,C00460,Deoxyuridine triphosphate
481.9773,CTP,C00063,Cytidine triphosphate
482.9616,UTP,C00075,Uridine triphosphate
503.1623,Gal alpha 1->6Gal alpha 1->6Glucose,C01835;C05404,Gal alpha 1->6Gal alpha 1->6Glucose / Maltotriose
505.9887,ATP,C00002;C00286,Adenosine triphosphate / dGTP
521.9834,GTP,C00044;C19967,8-oxo-dGTP / Guanosine triphosphate
547.0754,dTDP-6-deoxy-beta-L-talose,C03319,Deoxythymidine diphosphate-rhamnose
563.0683,dTDP-hexose,C00842;C02097,dTDP-Galactose / dTDP-Glucose
565.0479,UDP-hexose,C00029;C00052;C03733,"UDP-Galacto-1,4-furanose / UDP-Glucose / Uridine diphosphategalactose"
578.8873,"1D-myo-Inositol 1,3,4,5,6-pentakisphosphate",C04563;C04579,"1-Myo-inositol 1,2,3,4,5-pentakisphosphate / Inositol 1,2,3,5,6-pentakisphosphate / Myo-inositol 1,2,4,5,6-pentakisphosphate"
611.1447,Glutathione disulfide,C00127,Glutathione disulfide
665.2152,Glycogen,C00182;C02052,Glycogen / Maltotetraose
707.097,Linear dimeric GMP,C18076,Linear dimeric GMP
784.1499,FAD (ox),C00016,FAD
864.1454,2-Methylacetoacetyl-CoA,C03344,2-Methylacetoacetyl-CoA
866.1233,Succinyl-CoA,C00091;C00683;C01213,(R)-Methylmalonyl-CoA / (S)-Methylmalonyl-CoA / Succinyl-CoA
57.0342,Propanal,C00479,Propanal
58.0295,Aminoacetaldehyde,C06735,Aminoacetaldehyde
71.0137,Pyruvaldehyde,C00546,Pyruvaldehyde
73.0293,C3:0 (Propionic acid),C00163;C00424;C00937;C05999,(S)-Lactaldehyde / Lactaldehyde / Propionic acid
74.0247,Glycine,C00037,Glycine
75.0087,Glycolate,C00160,Glycolate
85.0295,Diacetyl,C00741,Diacetyl
87.0451,C4:0 (Butyric acid),C00246;C00466,Acetoin / Butyric acid
88.0403,Alanine,C00041;C00099;C00133;C00213,Alanine / Sarcosine / beta-Alanine
88.9883,Oxalic acid,C00209,Oxalic acid
89.0244,Lactate,C00184;C00186;C00256;C00577;C01013;C02426,3-Hydroxypropanoate / Dihydroxyacetone / Glyceraldehyde / Lactic acid
93.0338,Phenol,C15584,Phenol
94.9761,Methanesulfonic acid,C11145,Methanesulfonate
94.9806,Methanesulfonic acid,C11145,Methanesulfonate
101.0242,Oxobutanoic acid,C00109;C00164;C00232;C00349;C06002,(S)-Methylmalonic acid semialdehyde / 2-Ketobutyric acid / 2-Methyl-3-oxopropanoate / Acetoacetic acid / Succinic acid semialdehyde
101.0607,Pentanoic acid,C08262,Isovaleric acid
102.056,Aminobutanoic acid (ABA),C00334;C01026;C03284;C03665,"(S)-b-aminoisobutyric acid / 2-Aminoisobutyric acid / N,N-Dimethylglycine / gamma-Aminobutyric acid"
103.0402,Hydroxybutanoic acid,C00989;C01089;C01188;C01991,3-Hydroxybutyric acid / 3-Hydroxyisobutyric acid / 4-Hydroxybutanoic acid / gamma-Hydroxybutyrate
103.0509,"2,3-Diaminopropanoate",C06393,"2,3-Diaminopropanoate"
104.0352,Serine,C00065;C00740,Serine
105.0193,D-Glyceric acid,C00258,Glyceric acid
107.0503,Benzyl alcohol,C00556;C01468,Benzyl alcohol / p-Cresol
110.9758,Monomethyl sulfate,C02704,Methyl sulfate
111.02,Uracil,C00106,Uracil
113.0244,"2-Hydroxy-2,4-pentadienoic acid",C00596;C07091,"2-Hydroxy-2,4-pentadienoate / cis-Acetylacrylate"
113.0357,Dihydrouracil,C00429;C02512,3-Cyano-alanine / Dihydrouracil
115.0037,Fumarate,C00122,Fumaric acid
115.0764,Hexanoate (N-C6:0),C01585,Hexanoate (N-C6:0)
116.0354,Aspartate semialdehyde,C00441;C03508;C20250,(Z)-2-Methyl-peroxyaminoacrylate / 2-Amino-3-oxobutanoic acid / Aspartate-semialdehyde
116.0717,Valine,C00183;C00719,Betaine / Valine
118.0508,Threonine,C00188;C00263;C00820;C05519,Allothreonine / Homoserine / Threonine
118.9804,Mercaptopyruvic acid,C00957,3-Mercaptopyruvic acid
119.0009,Hydroxymalonic acid,C02287,2-Hydroxymalonate
