,Metabolite,#,growth_media,growth_system,concentration,concentration_units,error,temperature,strain,growth_status,molecules,molecules_error,reference_text,pubmed_id,internal,Minimal/complex,Carbon source,CS concentration [g/L],LB,UB
50,Cis-aconitate,0,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose,Shake flask and filter culture,8.049999999999999,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,64400,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glucose,4.0,13.8,18.8
56,Citrate,0,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose,Shake flask and filter culture,1960.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,7840000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glucose,4.0,1100.0,3480.0
57,Citrate,0,Mineral medium,Bioreactor,323.3333333333333,uM,28.618311930960886,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,10.0,294.71502140237243,351.9516452642942
54,Citrate,3,Luria-Bertani (LB) media,Shake flask,99.3,uM,12.0,37 oC,BL21 DE3,Stationary phase cultures (overnight culture),397200,48000,"Lin, Z., Johnson, L. C., Weissbach, H., Brot, N., Lively, M. O., Lowther, W. T. (2007). ""Free methionine-(R)-sulfoxide reductase from Escherichia coli reveals a new GAF domain function."" Proc Natl Acad Sci U S A 104:9597-9602.",17535911,true,Complex,LB,,87.3,111.3
53,Citrate,2,Rich medium,Shake flask,315.0,uM,,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Complex,Rich,,,
52,Citrate,1,Mineral medium,Shake flask,165.83333333333334,uM,11.43333333333332,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,4.0,154.40000000000003,177.26666666666665
51,Citrate,2,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate,Shake flask and filter culture,21900.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,87600000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Acetate,4.0,17500.0,27300.0
55,Citrate,1,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol,Shake flask and filter culture,2320.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,9280000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glycerol,4.0,1230.0,4370.0
58,Dihydroxyacetone phosphate,2,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate,Shake flask and filter culture,147.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,588000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Acetate,4.0,67.39999999999999,319.0
60,Dihydroxyacetone phosphate,0,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose,Shake flask and filter culture,374.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,1496000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glucose,4.0,344.0,405.0
59,Dihydroxyacetone phosphate,1,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol,Shake flask and filter culture,544.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,2176000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glycerol,4.0,372.0,795.0
61,Erythrose-4-phosphate,1,"4.0 g/L Na2SO4; 5.36 g/L (NH4)2SO4; 1.0 g/L NH4Cl; 7.3 g/L K2HPO4; 1.8 g/L NaH2PO4 H2O; 12.0 g/L (NH4)2-H-citrate; 4.0 mL/L MgSO4 (1 M); 6.0 mL/L trace element solution; 0.02 g/L thiamine, 20 g/L glucose","Bioreactor, pH controlled, aerated",2.8,uM,0.0,37 oC,W3110,Stationary Phase,11200,0,"Park, C., Park, C., Lee, Y., Lee, S.Y., Oh, H.B., Lee, J. (2011) Determination of the Intracellular Concentration of Metabolites in Escherichia coli Collected during the Exponential and Stationary Growth Phases using Liquid Chromatography-Mass Spectrometry. Bull Korean Chem. Soc. 32: 524-530.",,,Minimal,Glucose,20.0,2.8,2.8
62,Erythrose-4-phosphate,0,Gutnick minimal medium,Bioreactor,49.0,uM,0.0,37,NCM3722,Log-phase,,,"Park et al., 2016, Nat Chem Biol",27159581,,Minimal,Glucose,4.0,4.19e-05,5.64e-05
63,Erythrose-4-phosphate,0,"4.0 g/L Na2SO4; 5.36 g/L (NH4)2SO4; 1.0 g/L NH4Cl; 7.3 g/L K2HPO4; 1.8 g/L NaH2PO4 H2O; 12.0 g/L (NH4)2-H-citrate; 4.0 mL/L MgSO4 (1 M); 6.0 mL/L trace element solution; 0.02 g/L thiamine, 20 g/L glucose","Bioreactor, pH controlled, aerated, dilution rate=0.125 L/h",1.3,uM,0.0,37 oC,W3110,Mid Log Phase,5200,0,"Park, C., Park, C., Lee, Y., Lee, S.Y., Oh, H.B., Lee, J. (2011) Determination of the Intracellular Concentration of Metabolites in Escherichia coli Collected during the Exponential and Stationary Growth Phases using Liquid Chromatography-Mass Spectrometry. Bull Korean Chem. Soc. 32: 524-530.",,,Minimal,Glucose,20.0,1.3,1.3
64,Formate,0,Luria-Bertani (LB) media,Shake flask,184.0,uM,25.0,37 oC,BL21 DE3,Stationary phase cultures (overnight culture),734000,100000,"Lin, Z., Johnson, L. C., Weissbach, H., Brot, N., Lively, M. O., Lowther, W. T. (2007). ""Free methionine-(R)-sulfoxide reductase from Escherichia coli reveals a new GAF domain function."" Proc Natl Acad Sci U S A 104:9597-9602.",17535911,true,Complex,LB,,159.0,209.0
71,"Fructose-1,6-bisphosphate",2,Rich medium,Shake flask,48.75,uM,,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Complex,Rich,,,
72,"Fructose-1,6-bisphosphate",4,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose,Shake flask and filter culture,15200.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,60800000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glucose,4.0,14000.0,16400.0
73,"Fructose-1,6-bisphosphate",6,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate,Shake flask and filter culture,,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,608000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Acetate,4.0,,
74,"Fructose-1,6-bisphosphate",5,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol,Shake flask and filter culture,5850.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,23400000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glycerol,4.0,4190.0,8160.000000000001
69,"Fructose-1,6-bisphosphate",1,"4.0 g/L Na2SO4; 5.36 g/L (NH4)2SO4; 1.0 g/L NH4Cl; 7.3 g/L K2HPO4; 1.8 g/L NaH2PO4 H2O; 12.0 g/L (NH4)2-H-citrate; 4.0 mL/L MgSO4 (1 M); 6.0 mL/L trace element solution; 0.02 g/L thiamine, 20 g/L glucose","Bioreactor, pH controlled, aerated",4.7,uM,0.0,37 oC,W3110,Stationary Phase,18800,0,"Park, C., Park, C., Lee, Y., Lee, S.Y., Oh, H.B., Lee, J. (2011) Determination of the Intracellular Concentration of Metabolites in Escherichia coli Collected during the Exponential and Stationary Growth Phases using Liquid Chromatography-Mass Spectrometry. Bull Korean Chem. Soc. 32: 524-530.",,,Minimal,Glucose,20.0,4.7,4.7
68,"Fructose-1,6-bisphosphate",0,"4.0 g/L Na2SO4; 5.36 g/L (NH4)2SO4; 1.0 g/L NH4Cl; 7.3 g/L K2HPO4; 1.8 g/L NaH2PO4 H2O; 12.0 g/L (NH4)2-H-citrate; 4.0 mL/L MgSO4 (1 M); 6.0 mL/L trace element solution; 0.02 g/L thiamine, 20 g/L glucose","Bioreactor, pH controlled, aerated, dilution rate=0.125 L/h",85.2,uM,0.0,37 oC,W3110,Mid Log Phase,340800,0,"Park, C., Park, C., Lee, Y., Lee, S.Y., Oh, H.B., Lee, J. (2011) Determination of the Intracellular Concentration of Metabolites in Escherichia coli Collected during the Exponential and Stationary Growth Phases using Liquid Chromatography-Mass Spectrometry. Bull Korean Chem. Soc. 32: 524-530.",,,Minimal,Glucose,20.0,85.2,85.2
67,"Fructose-1,6-bisphosphate",3,"M9 Minimal Media, 4 g/L Glucose","Bioreactor, pH controlled, O2 controlled, dilution rate: 0.2/h",1010.0,uM,100.0,37 oC,BW25113,Mid-Log Phase,4040000,400000,"Peng, L., Arauzo-Bravo, M. J., Shimizu, K. (2004). ""Metabolic flux analysis for a ppc mutant Escherichia coli based on 13C-labelling experiments together with enzyme activity assays and intracellular metabolite measurements."" FEMS Microbiol Lett 235:17-23.",15158257,,Minimal,Glucose,4.0,910.0,1110.0
65,"Fructose-1,6-bisphosphate",0,Mineral medium,Bioreactor,1139.8333333333333,uM,240.82911516490518,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,10.0,899.0042181684281,1380.6624484982385
70,"Fructose-1,6-bisphosphate",2,"0.2 g/L NH4Cl, 2.0 g/L (NH4)2SO4, 3.25 g/L KH2PO4, 2.5 g/L K2HPO4, 1.5 g/L NaH2PO4, 0.5 g/L MgSO4; trace substances: 10 mg/L CaCl2, 0.5 mg/L ZnSO4, 0.25 mg/L CuCl2, 0.25 mg/L  MnSO4, 0.175 mg/L CoCl2, 0.125 mg/L H3BO3, 2.5 mg/L AlCl3, 0.5 mg/L Na2MoO4, 10","Bioreactor, pH controlled, aerated, dilution rate=0.125 L/h",3290.0,uM,179.0,37 oC,K12,"Stationary Phase, glucose limited",13160000,716000,"Buchholz, A., Takors, R., Wandrey, C. (2001). ""Quantification of intracellular metabolites in Escherichia coli K12 using liquid chromatographic-electrospray ionization tandem mass spectrometric techniques."" Anal Biochem 295:129-137.",11488613,,Minimal,Glucose,30.0,3111.0,3469.0
66,"Fructose-1,6-bisphosphate",1,Mineral medium,Shake flask,1158.3333333333333,uM,46.685912697991135,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,4.0,1111.647420635342,1205.0192460313244
284,Fructose-6-phosphate,2,M9,Shake flask,539.5967887500001,uM,78.76235109350593,37,K12 MG1655,Log-phase,,,This work,,Minimal,,Galactose,3.60312,460.8344376564942,618.359139843506
289,Fructose-6-phosphate,7,M9,Shake flask,171.080685,uM,47.99141092974839,37,K12 MG1655,Log-phase,,,This work,,Minimal,,L-alanine,3.5636000000000005,123.0892740702516,219.07209592974837
294,Fructose-6-phosphate,12,M9,Shake flask,304.6551075,uM,69.07453643940617,37,K12 MG1655,Log-phase,,,This work,,Minimal,,L-malate,4.0227,235.5805710605938,373.7296439394062
76,Fructose-6-phosphate,1,Mineral medium,Shake flask,544.1666666666666,uM,148.09389288931237,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,4.0,396.07277377735426,692.260559555979
79,Fructose-6-phosphate,0,"0.2 g/L NH4Cl, 2.0 g/L (NH4)2SO4, 3.25 g/L KH2PO4, 2.5 g/L K2HPO4, 1.5 g/L NaH2PO4, 0.5 g/L MgSO4; trace substances: 10 mg/L CaCl2, 0.5 mg/L ZnSO4, 0.25 mg/L CuCl2, 0.25 mg/L  MnSO4, 0.175 mg/L CoCl2, 0.125 mg/L H3BO3, 2.5 mg/L AlCl3, 0.5 mg/L Na2MoO4, 10","Bioreactor, pH controlled, aerated, dilution rate=0.125 L/h",250.0,uM,19.0,37 oC,K12,"Stationary Phase, glucose limited",1000000,76000,"Buchholz, A., Takors, R., Wandrey, C. (2001). ""Quantification of intracellular metabolites in Escherichia coli K12 using liquid chromatographic-electrospray ionization tandem mass spectrometric techniques."" Anal Biochem 295:129-137.",11488613,,Minimal,Glucose,30.0,231.0,269.0
78,Fructose-6-phosphate,1,"M9 Minimal Media, 4 g/L Glucose","Bioreactor, pH controlled, O2 controlled, dilution rate: 0.2/h",290.0,uM,60.0,37 oC,BW25113,Mid-Log Phase,1160000,240000,"Peng, L., Arauzo-Bravo, M. J., Shimizu, K. (2004). ""Metabolic flux analysis for a ppc mutant Escherichia coli based on 13C-labelling experiments together with enzyme activity assays and intracellular metabolite measurements."" FEMS Microbiol Lett 235:17-23.",15158257,,Minimal,Glucose,4.0,230.0,350.0
77,Fructose-6-phosphate,2,Rich medium,Shake flask,81.25000000000001,uM,,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Complex,Rich,,,
75,Fructose-6-phosphate,0,Mineral medium,Bioreactor,361.1666666666667,uM,64.79950239863814,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,10.0,296.36716426802855,425.9661690653048
85,Fumarate,0,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose,Shake flask and filter culture,115.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,460000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glucose,4.0,3.0,4420.0
81,Fumarate,1,Mineral medium,Shake flask,283.33333333333337,uM,68.50270878666849,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,4.0,214.83062454666486,351.8360421200019
80,Fumarate,0,Mineral medium,Bioreactor,244.49999999999997,uM,15.628874986170107,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,10.0,228.87112501382987,260.1288749861701
83,Fumarate,1,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol,Shake flask and filter culture,255.00000000000003,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,1020000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glycerol,4.0,6.58,9920.0
82,Fumarate,2,Rich medium,Shake flask,620.0,uM,,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Complex,Rich,,,
84,Fumarate,2,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate,Shake flask and filter culture,267.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,1068000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Acetate,4.0,6.7299999999999995,10600.0
86,Gamma-aminobutyrate,0,"48 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O.  4 g/L Gluco","Bioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h",43.6,uM,0.0,37 oC,BW25113,"Stationary Phase, glucose limited",174400,0,"Ishii, N., Nakahigashi, K., Baba, T., Robert, M., Soga, T., Kanai, A., Hirasawa, T., Naba, M., Hirai, K., Hoque, A., Ho, P. Y., Kakazu, Y., Sugawara, K., Igarashi, S., Harada, S., Masuda, T., Sugiyama, N., Togashi, T., Hasegawa, M., Takai, Y., Yugi, K., Arakawa, K., Iwata, N., Toya, Y., Nakayama, Y., Nishioka, T., Shimizu, K., Mori, H., Tomita, M. (2007). ""Multiple high-throughput analyses monitor the response of E. coli to perturbations."" Science 316:593-597.",17379776,,Minimal,Glucose,4.0,43.6,43.6
92,Glucose-6-phosphate,2,"48 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O.  4 g/L Gluco","Bioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h",180.0,uM,0.0,37 oC,BW25113,"Stationary Phase, glucose limited",720000,0,"Ishii, N., Nakahigashi, K., Baba, T., Robert, M., Soga, T., Kanai, A., Hirasawa, T., Naba, M., Hirai, K., Hoque, A., Ho, P. Y., Kakazu, Y., Sugawara, K., Igarashi, S., Harada, S., Masuda, T., Sugiyama, N., Togashi, T., Hasegawa, M., Takai, Y., Yugi, K., Arakawa, K., Iwata, N., Toya, Y., Nakayama, Y., Nishioka, T., Shimizu, K., Mori, H., Tomita, M. (2007). ""Multiple high-throughput analyses monitor the response of E. coli to perturbations."" Science 316:593-597.",17379776,,Minimal,Glucose,4.0,180.0,180.0
91,Glucose-6-phosphate,1,"M9 Minimal Media, 4 g/L Glucose","Bioreactor, pH controlled, O2 controlled, dilution rate: 0.2/h",680.0,uM,90.0,37 oC,BW25113,Mid-Log Phase,2720000,360000,"Peng, L., Arauzo-Bravo, M. J., Shimizu, K. (2004). ""Metabolic flux analysis for a ppc mutant Escherichia coli based on 13C-labelling experiments together with enzyme activity assays and intracellular metabolite measurements."" FEMS Microbiol Lett 235:17-23.",15158257,,Minimal,Glucose,4.0,590.0,770.0
90,Glucose-6-phosphate,0,Mineral medium,Bioreactor,418.3333333333333,uM,80.0333333333333,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,10.0,338.3,498.3666666666666
89,Glucose-6-phosphate,2,Rich medium,Shake flask,93.0,uM,,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Complex,Rich,,,
88,Glucose-6-phosphate,0,"0.2 g/L NH4Cl, 2.0 g/L (NH4)2SO4, 3.25 g/L KH2PO4, 2.5 g/L K2HPO4, 1.5 g/L NaH2PO4, 0.5 g/L MgSO4; trace substances: 10 mg/L CaCl2, 0.5 mg/L ZnSO4, 0.25 mg/L CuCl2, 0.25 mg/L  MnSO4, 0.175 mg/L CoCl2, 0.125 mg/L H3BO3, 2.5 mg/L AlCl3, 0.5 mg/L Na2MoO4, 10","Bioreactor, pH controlled, aerated, dilution rate=0.125 L/h",220.0,uM,15.0,37 oC,K12,"Stationary Phase, glucose limited",880000,60000,"Buchholz, A., Takors, R., Wandrey, C. (2001). ""Quantification of intracellular metabolites in Escherichia coli K12 using liquid chromatographic-electrospray ionization tandem mass spectrometric techniques."" Anal Biochem 295:129-137.",11488613,,Minimal,Glucose,30.0,205.0,235.0
87,Glucose-6-phosphate,1,Mineral medium,Shake flask,670.0,uM,191.6227891805496,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,4.0,478.3772108194504,861.6227891805496
93,Glucose-6-phosphate,3,,,50.0,uM,0.0,,K-12,,200000,0,"1. Cybercell Database: <a href='http://ccdb.wishartlab.com/CCDB/cgi-bin/STAT_NEW.cgi'>http://ccdb.wishartlab.com/CCDB/cgi-bin/STAT_NEW.cgi</a> <br>
	2. Phillips R., Kondev, J., Theriot, J. (2008) “Physical Biology of the Cell” Garland Science, New York, NY.",,,,,,50.0,50.0
295,Glutamate,13,M9,Shake flask,6359.60966625,uM,934.0979393554258,37,K12 MG1655,Log-phase,,,This work,,Minimal,,L-malate,4.0227,5425.511726894574,7293.707605605427
290,Glutamate,8,M9,Shake flask,7936.29954,uM,3259.320788004924,37,K12 MG1655,Log-phase,,,This work,,Minimal,,L-alanine,3.5636000000000005,4676.978751995076,11195.620328004923
285,Glutamate,3,M9,Shake flask,6146.60211,uM,452.83834001478976,37,K12 MG1655,Log-phase,,,This work,,Minimal,,Galactose,3.60312,5693.76376998521,6599.440450014789
99,Glutamate,2,Rich medium,Shake flask,18375.0,uM,,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Complex,Rich,,,
94,Glutamate,2,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate,Shake flask and filter culture,44800.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,179200000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Acetate,4.0,32599.999999999996,61400.0
101,Glutamate,3,"48 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O.  4 g/L Gluco","Bioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h",4270.0,uM,0.0,37 oC,BW25113,"Stationary Phase, glucose limited",17080000,0,"Ishii, N., Nakahigashi, K., Baba, T., Robert, M., Soga, T., Kanai, A., Hirasawa, T., Naba, M., Hirai, K., Hoque, A., Ho, P. Y., Kakazu, Y., Sugawara, K., Igarashi, S., Harada, S., Masuda, T., Sugiyama, N., Togashi, T., Hasegawa, M., Takai, Y., Yugi, K., Arakawa, K., Iwata, N., Toya, Y., Nakayama, Y., Nishioka, T., Shimizu, K., Mori, H., Tomita, M. (2007). ""Multiple high-throughput analyses monitor the response of E. coli to perturbations."" Science 316:593-597.",17379776,,Minimal,Glucose,4.0,4270.0,4270.0
100,Glutamate,0,Mineral medium,Bioreactor,1961.6666666666667,uM,135.83206952377296,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,10.0,1825.8345971428937,2097.4987361904396
98,Glutamate,1,Mineral medium,Shake flask,2491.666666666667,uM,335.13198063515887,37,K12 MG1655,Log-phase,,,"Thorfinnsdottir et al., 2023, Metabolites",36837769,,Minimal,Glucose,4.0,2156.534686031508,2826.798647301826
97,Glutamate,4,Luria-Bertani (LB) media,Shake flask,259.0,uM,45.0,37 oC,BL21 DE3,Stationary phase cultures (overnight culture),1037600,180000,"Lin, Z., Johnson, L. C., Weissbach, H., Brot, N., Lively, M. O., Lowther, W. T. (2007). ""Free methionine-(R)-sulfoxide reductase from Escherichia coli reveals a new GAF domain function."" Proc Natl Acad Sci U S A 104:9597-9602.",17535911,true,Complex,LB,,214.0,304.0
96,Glutamate,0,Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose,Shake flask and filter culture,96000.0,uM,0.0,37 oC,K12 NCM3722,Mid-Log Phase,384000000,0,"Bennett, B. D., Kimball, E. H., Gao, M., Osterhout, R., Van Dien, S. J., Rabinowitz, J. D. (2009). ""Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli."" Nat Chem Biol 5:593-599.",19561621,,Minimal,Glucose,4.0,92400.0,99800.0
