Metabolite_Conc,Metabolite,Carbon_Source,Strain,Replicate,Timepoint,OD
0,Fumaric acid,D-Glucose,Pseudomonas,2,28,0.2042
0,Valeric acid,D-Glucose,Pseudomonas,2,28,0.2042
0.0492,Asparagine,D-Glucose,Pseudomonas,2,28,0.2042
1.26,beta-Hydroxybutyric acid,D-Glucose,Pseudomonas,2,28,0.2042
0,Putrescine,D-Glucose,Pseudomonas,2,28,0.2042
0,Propionic acid,D-Glucose,Pseudomonas,2,28,0.2042
2.95,Glycine,D-Glucose,Pseudomonas,2,28,0.2042
0,Lactic acid,D-Glucose,Pseudomonas,2,28,0.2042
0.0842,Methionine,D-Glucose,Pseudomonas,2,28,0.2042
2.12,Acetyl-ornithine,D-Glucose,Pseudomonas,2,28,0.2042
2.99,Citric acid,D-Glucose,Pseudomonas,2,28,0.2042
0,alpha-Ketoglutaric acid,D-Glucose,Pseudomonas,2,28,0.2042
0,Hippuric acid,D-Glucose,Pseudomonas,2,28,0.2042
0,Butyric acid,D-Glucose,Pseudomonas,2,28,0.2042
225,Acetic acid,D-Glucose,Pseudomonas,2,28,0.2042
0,Alanine,D-Glucose,Pseudomonas,1,48,0.2271
0,Valine,D-Glucose,Pseudomonas,1,48,0.2271
1.62,Serine,D-Glucose,Pseudomonas,1,48,0.2271
0.0134,Fumaric acid,D-Glucose,Pseudomonas,1,48,0.2271
0.178,Succinic acid,D-Glucose,Pseudomonas,1,48,0.2271
0.0642,beta-Hydroxybutyric acid,D-Glucose,Pseudomonas,1,48,0.2271
3.51,Acetyl-ornithine,D-Glucose,Pseudomonas,1,48,0.2271
3.49,Glycine,D-Glucose,Pseudomonas,1,48,0.2271
0.458,Asparagine,D-Glucose,Pseudomonas,1,48,0.2271
0.0443,Butyric acid,D-Glucose,Pseudomonas,1,48,0.2271
0,Lactic acid,D-Glucose,Pseudomonas,1,48,0.2271
0,Putrescine,D-Glucose,Pseudomonas,1,48,0.2271
0,Hippuric acid,D-Glucose,Pseudomonas,1,48,0.2271
0,Propionic acid,D-Glucose,Pseudomonas,1,48,0.2271
0,alpha-Ketoglutaric acid,D-Glucose,Pseudomonas,1,48,0.2271
0.155,Methionine,D-Glucose,Pseudomonas,1,48,0.2271
111,Acetic acid,D-Glucose,Pseudomonas,1,48,0.2271
3.38,Citric acid,D-Glucose,Pseudomonas,1,48,0.2271
0,Pyruvic acid,D-Glucose,Pseudomonas,1,48,0.2271
0.444,Valeric acid,D-Glucose,Pseudomonas,1,48,0.2271
6.06,Acetyl-ornithine,D-Glucose,Pseudomonas,2,48,0.3857
0,Lactic acid,D-Glucose,Pseudomonas,2,48,0.3857
0,Pyruvic acid,D-Glucose,Pseudomonas,2,48,0.3857
0,Serine,D-Glucose,Pseudomonas,2,48,0.3857
2.78,Propionic acid,D-Glucose,Pseudomonas,2,48,0.3857
0,Asparagine,D-Glucose,Pseudomonas,2,48,0.3857
0,alpha-Ketoglutaric acid,D-Glucose,Pseudomonas,2,48,0.3857
2.64,Glycine,D-Glucose,Pseudomonas,2,48,0.3857
0,Valine,D-Glucose,Pseudomonas,2,48,0.3857
1.02,Butyric acid,D-Glucose,Pseudomonas,2,48,0.3857
0.816,beta-Hydroxybutyric acid,D-Glucose,Pseudomonas,2,48,0.3857
0,Hippuric acid,D-Glucose,Pseudomonas,2,48,0.3857
1040,Acetic acid,D-Glucose,Pseudomonas,2,48,0.3857
0,Alanine,D-Glucose,Pseudomonas,2,48,0.3857
0.0263,Fumaric acid,D-Glucose,Pseudomonas,2,48,0.3857
5.42,Citric acid,D-Glucose,Pseudomonas,2,48,0.3857
0,Putrescine,D-Glucose,Pseudomonas,2,48,0.3857
0.456,Valeric acid,D-Glucose,Pseudomonas,2,48,0.3857
0,Methionine,D-Glucose,Pseudomonas,2,48,0.3857
0.166,Succinic acid,D-Glucose,Pseudomonas,2,48,0.3857
0,Valine,L-Malate,Ecoli,1,16,0.0058
0,Asparagine,L-Malate,Ecoli,1,16,0.0058
26.1,Succinic acid,L-Malate,Ecoli,1,16,0.0058
0,Alanine,L-Malate,Ecoli,1,16,0.0058
0.511,Pyruvic acid,L-Malate,Ecoli,1,16,0.0058
0.385,Serine,L-Malate,Ecoli,1,16,0.0058
0,beta-Hydroxybutyric acid,L-Malate,Ecoli,1,16,0.0058
0.592,Valeric acid,L-Malate,Ecoli,1,16,0.0058
1.72,Citric acid,L-Malate,Ecoli,1,16,0.0058
0,Butyric acid,L-Malate,Ecoli,1,16,0.0058
0.251,Acetyl-ornithine,L-Malate,Ecoli,1,16,0.0058
0.18,Hippuric acid,L-Malate,Ecoli,1,16,0.0058
0.293,Propionic acid,L-Malate,Ecoli,1,16,0.0058
0,Glycine,L-Malate,Ecoli,1,16,0.0058
0,Lactic acid,L-Malate,Ecoli,1,16,0.0058
17,Fumaric acid,L-Malate,Ecoli,1,16,0.0058
0,Acetic acid,L-Malate,Ecoli,1,16,0.0058
0,alpha-Ketoglutaric acid,L-Malate,Ecoli,1,16,0.0058
0,Putrescine,L-Malate,Ecoli,1,16,0.0058
0.225,Methionine,L-Malate,Ecoli,1,16,0.0058
0,Valine,L-Malate,Ecoli,2,16,0.0022
0,Alanine,L-Malate,Ecoli,2,16,0.0022
0.237,Pyruvic acid,L-Malate,Ecoli,2,16,0.0022
26.5,Succinic acid,L-Malate,Ecoli,2,16,0.0022
0.81,Serine,L-Malate,Ecoli,2,16,0.0022
0.5,beta-Hydroxybutyric acid,L-Malate,Ecoli,2,16,0.0022
0.329,Valeric acid,L-Malate,Ecoli,2,16,0.0022
1.69,Citric acid,L-Malate,Ecoli,2,16,0.0022
0,alpha-Ketoglutaric acid,L-Malate,Ecoli,2,16,0.0022
0,Methionine,L-Malate,Ecoli,2,16,0.0022
0,Glycine,L-Malate,Ecoli,2,16,0.0022
0,Butyric acid,L-Malate,Ecoli,2,16,0.0022
0,Lactic acid,L-Malate,Ecoli,2,16,0.0022
19.7,Fumaric acid,L-Malate,Ecoli,2,16,0.0022
0.196,Acetyl-ornithine,L-Malate,Ecoli,2,16,0.0022
0.906,Propionic acid,L-Malate,Ecoli,2,16,0.0022
0.362,Asparagine,L-Malate,Ecoli,2,16,0.0022
0.14,Putrescine,L-Malate,Ecoli,2,16,0.0022
0,Acetic acid,L-Malate,Ecoli,2,16,0.0022
0.16,Hippuric acid,L-Malate,Ecoli,2,16,0.0022
2.59,Propionic acid,L-Malate,Ecoli,1,28,0.0091
0,Glycine,L-Malate,Ecoli,1,28,0.0091
1.07,Serine,L-Malate,Ecoli,1,28,0.0091
0.603,beta-Hydroxybutyric acid,L-Malate,Ecoli,1,28,0.0091
40.1,Succinic acid,L-Malate,Ecoli,1,28,0.0091
0,Lactic acid,L-Malate,Ecoli,1,28,0.0091
0.102,Putrescine,L-Malate,Ecoli,1,28,0.0091
0,Valine,L-Malate,Ecoli,1,28,0.0091
0,alpha-Ketoglutaric acid,L-Malate,Ecoli,1,28,0.0091
0,Alanine,L-Malate,Ecoli,1,28,0.0091
0,Acetyl-ornithine,L-Malate,Ecoli,1,28,0.0091
0.428,Pyruvic acid,L-Malate,Ecoli,1,28,0.0091
0,Butyric acid,L-Malate,Ecoli,1,28,0.0091
0.426,Asparagine,L-Malate,Ecoli,1,28,0.0091
35.8,Fumaric acid,L-Malate,Ecoli,1,28,0.0091
0.229,Hippuric acid,L-Malate,Ecoli,1,28,0.0091
52.5,Acetic acid,L-Malate,Ecoli,1,28,0.0091
0.475,Valeric acid,L-Malate,Ecoli,1,28,0.0091
0.0768,Methionine,L-Malate,Ecoli,1,28,0.0091
1.98,Citric acid,L-Malate,Ecoli,1,28,0.0091
0,Alanine,L-Malate,Ecoli,2,28,0.0074
36.2,Fumaric acid,L-Malate,Ecoli,2,28,0.0074
1.93,Serine,L-Malate,Ecoli,2,28,0.0074
0,Asparagine,L-Malate,Ecoli,2,28,0.0074
0.805,Butyric acid,L-Malate,Ecoli,2,28,0.0074
0,Lactic acid,L-Malate,Ecoli,2,28,0.0074
6.22,Propionic acid,L-Malate,Ecoli,2,28,0.0074
39.8,Succinic acid,L-Malate,Ecoli,2,28,0.0074
0,alpha-Ketoglutaric acid,L-Malate,Ecoli,2,28,0.0074
0,Glycine,L-Malate,Ecoli,2,28,0.0074
0,Valine,L-Malate,Ecoli,2,28,0.0074
1.97,Citric acid,L-Malate,Ecoli,2,28,0.0074
0.206,Pyruvic acid,L-Malate,Ecoli,2,28,0.0074
0.643,beta-Hydroxybutyric acid,L-Malate,Ecoli,2,28,0.0074
0.398,Acetyl-ornithine,L-Malate,Ecoli,2,28,0.0074
1.39,Valeric acid,L-Malate,Ecoli,2,28,0.0074
94,Acetic acid,L-Malate,Ecoli,2,28,0.0074
0,Putrescine,L-Malate,Ecoli,2,28,0.0074
0.277,Hippuric acid,L-Malate,Ecoli,2,28,0.0074
0,Methionine,L-Malate,Ecoli,2,28,0.0074
53,Pyruvic acid,L-Malate,Ecoli,1,48,0.05
0,alpha-Ketoglutaric acid,L-Malate,Ecoli,1,48,0.05
1.28,Serine,L-Malate,Ecoli,1,48,0.05
0,Valine,L-Malate,Ecoli,1,48,0.05
0.114,Asparagine,L-Malate,Ecoli,1,48,0.05
1.08,Butyric acid,L-Malate,Ecoli,1,48,0.05
0,Lactic acid,L-Malate,Ecoli,1,48,0.05
0,Glycine,L-Malate,Ecoli,1,48,0.05
0,Alanine,L-Malate,Ecoli,1,48,0.05
5.01,Citric acid,L-Malate,Ecoli,1,48,0.05
194,Succinic acid,L-Malate,Ecoli,1,48,0.05
1.81,beta-Hydroxybutyric acid,L-Malate,Ecoli,1,48,0.05
0.872,Acetyl-ornithine,L-Malate,Ecoli,1,48,0.05
700,Acetic acid,L-Malate,Ecoli,1,48,0.05
0,Methionine,L-Malate,Ecoli,1,48,0.05
176,Fumaric acid,L-Malate,Ecoli,1,48,0.05
1.72,Valeric acid,L-Malate,Ecoli,1,48,0.05
0.302,Hippuric acid,L-Malate,Ecoli,1,48,0.05
12.3,Propionic acid,L-Malate,Ecoli,1,48,0.05
0,Putrescine,L-Malate,Ecoli,1,48,0.05
0,Alanine,L-Malate,Ecoli,2,48,0.0464
0,Lactic acid,L-Malate,Ecoli,2,48,0.0464
0,Valine,L-Malate,Ecoli,2,48,0.0464
716,Succinic acid,L-Malate,Ecoli,2,48,0.0464
0.0432,alpha-Ketoglutaric acid,L-Malate,Ecoli,2,48,0.0464
0,Glycine,L-Malate,Ecoli,2,48,0.0464
49.5,Pyruvic acid,L-Malate,Ecoli,2,48,0.0464
0.433,Asparagine,L-Malate,Ecoli,2,48,0.0464
0.822,Serine,L-Malate,Ecoli,2,48,0.0464
2.61,beta-Hydroxybutyric acid,L-Malate,Ecoli,2,48,0.0464
22.3,Propionic acid,L-Malate,Ecoli,2,48,0.0464
980,Acetic acid,L-Malate,Ecoli,2,48,0.0464
0,Putrescine,L-Malate,Ecoli,2,48,0.0464
3.79,Acetyl-ornithine,L-Malate,Ecoli,2,48,0.0464
0.385,Hippuric acid,L-Malate,Ecoli,2,48,0.0464
0.107,Methionine,L-Malate,Ecoli,2,48,0.0464
465,Fumaric acid,L-Malate,Ecoli,2,48,0.0464
2.44,Butyric acid,L-Malate,Ecoli,2,48,0.0464
7.26,Citric acid,L-Malate,Ecoli,2,48,0.0464
1.99,Valeric acid,L-Malate,Ecoli,2,48,0.0464
0.491,Serine,L-Malate,Enterobacter,1,16,0.0317
0.196,Putrescine,L-Malate,Enterobacter,1,16,0.0317
0,Asparagine,L-Malate,Enterobacter,1,16,0.0317
0,Methionine,L-Malate,Enterobacter,1,16,0.0317
0,Valine,L-Malate,Enterobacter,1,16,0.0317
0,Alanine,L-Malate,Enterobacter,1,16,0.0317
0,Glycine,L-Malate,Enterobacter,1,16,0.0317
0,Acetyl-ornithine,L-Malate,Enterobacter,1,16,0.0317
2.79,Propionic acid,L-Malate,Enterobacter,1,16,0.0317
80.2,Succinic acid,L-Malate,Enterobacter,1,16,0.0317
0,Lactic acid,L-Malate,Enterobacter,1,16,0.0317
0.636,beta-Hydroxybutyric acid,L-Malate,Enterobacter,1,16,0.0317
0.564,Valeric acid,L-Malate,Enterobacter,1,16,0.0317
260,Pyruvic acid,L-Malate,Enterobacter,1,16,0.0317
2.73,alpha-Ketoglutaric acid,L-Malate,Enterobacter,1,16,0.0317
0.165,Hippuric acid,L-Malate,Enterobacter,1,16,0.0317
4.16,Citric acid,L-Malate,Enterobacter,1,16,0.0317
0,Butyric acid,L-Malate,Enterobacter,1,16,0.0317
23,Fumaric acid,L-Malate,Enterobacter,1,16,0.0317
766,Acetic acid,L-Malate,Enterobacter,1,16,0.0317
0,Valine,L-Malate,Enterobacter,2,16,0.0404
1.6,Serine,L-Malate,Enterobacter,2,16,0.0404
0.76,beta-Hydroxybutyric acid,L-Malate,Enterobacter,2,16,0.0404
30.7,Fumaric acid,L-Malate,Enterobacter,2,16,0.0404
0,Alanine,L-Malate,Enterobacter,2,16,0.0404
0,Asparagine,L-Malate,Enterobacter,2,16,0.0404
0,Putrescine,L-Malate,Enterobacter,2,16,0.0404
0,Lactic acid,L-Malate,Enterobacter,2,16,0.0404
0,Glycine,L-Malate,Enterobacter,2,16,0.0404
1.5,Propionic acid,L-Malate,Enterobacter,2,16,0.0404
109,Succinic acid,L-Malate,Enterobacter,2,16,0.0404
3.48,alpha-Ketoglutaric acid,L-Malate,Enterobacter,2,16,0.0404
1030,Acetic acid,L-Malate,Enterobacter,2,16,0.0404
304,Pyruvic acid,L-Malate,Enterobacter,2,16,0.0404
0,Butyric acid,L-Malate,Enterobacter,2,16,0.0404
4.82,Citric acid,L-Malate,Enterobacter,2,16,0.0404
0.153,Hippuric acid,L-Malate,Enterobacter,2,16,0.0404
0,Methionine,L-Malate,Enterobacter,2,16,0.0404
0,Valeric acid,L-Malate,Enterobacter,2,16,0.0404
0.552,Acetyl-ornithine,L-Malate,Enterobacter,2,16,0.0404
0,Alanine,L-Malate,Enterobacter,1,28,0.1474
0,Serine,L-Malate,Enterobacter,1,28,0.1474
0,Glycine,L-Malate,Enterobacter,1,28,0.1474
2.52,Acetyl-ornithine,L-Malate,Enterobacter,1,28,0.1474
9.07,Propionic acid,L-Malate,Enterobacter,1,28,0.1474
2.78,beta-Hydroxybutyric acid,L-Malate,Enterobacter,1,28,0.1474
101,Fumaric acid,L-Malate,Enterobacter,1,28,0.1474
0,Lactic acid,L-Malate,Enterobacter,1,28,0.1474
103,Pyruvic acid,L-Malate,Enterobacter,1,28,0.1474
0,Valine,L-Malate,Enterobacter,1,28,0.1474
472,Succinic acid,L-Malate,Enterobacter,1,28,0.1474
1.32,alpha-Ketoglutaric acid,L-Malate,Enterobacter,1,28,0.1474
0.205,Hippuric acid,L-Malate,Enterobacter,1,28,0.1474
0.117,Putrescine,L-Malate,Enterobacter,1,28,0.1474
0,Asparagine,L-Malate,Enterobacter,1,28,0.1474
2.02,Butyric acid,L-Malate,Enterobacter,1,28,0.1474
0.212,Methionine,L-Malate,Enterobacter,1,28,0.1474
3320,Acetic acid,L-Malate,Enterobacter,1,28,0.1474
3.5,Citric acid,L-Malate,Enterobacter,1,28,0.1474
0.277,Valeric acid,L-Malate,Enterobacter,1,28,0.1474
487,Succinic acid,L-Malate,Enterobacter,2,28,0.125
0,Asparagine,L-Malate,Enterobacter,2,28,0.125
102,Pyruvic acid,L-Malate,Enterobacter,2,28,0.125
0,Glycine,L-Malate,Enterobacter,2,28,0.125
3430,Acetic acid,L-Malate,Enterobacter,2,28,0.125
0,Alanine,L-Malate,Enterobacter,2,28,0.125
2.87,beta-Hydroxybutyric acid,L-Malate,Enterobacter,2,28,0.125
2.61,Acetyl-ornithine,L-Malate,Enterobacter,2,28,0.125
0.177,Methionine,L-Malate,Enterobacter,2,28,0.125
0.228,Hippuric acid,L-Malate,Enterobacter,2,28,0.125
10.6,Propionic acid,L-Malate,Enterobacter,2,28,0.125
3.42,Citric acid,L-Malate,Enterobacter,2,28,0.125
0,Lactic acid,L-Malate,Enterobacter,2,28,0.125
1.15,Serine,L-Malate,Enterobacter,2,28,0.125
0,Valine,L-Malate,Enterobacter,2,28,0.125
1.36,alpha-Ketoglutaric acid,L-Malate,Enterobacter,2,28,0.125
0.102,Putrescine,L-Malate,Enterobacter,2,28,0.125
0.849,Valeric acid,L-Malate,Enterobacter,2,28,0.125
2.82,Butyric acid,L-Malate,Enterobacter,2,28,0.125
101,Fumaric acid,L-Malate,Enterobacter,2,28,0.125
0,Valine,L-Malate,Enterobacter,1,48,0.2362
0,Pyruvic acid,L-Malate,Enterobacter,1,48,0.2362
0.165,Succinic acid,L-Malate,Enterobacter,1,48,0.2362
6.03,beta-Hydroxybutyric acid,L-Malate,Enterobacter,1,48,0.2362
0.132,Fumaric acid,L-Malate,Enterobacter,1,48,0.2362
0,Asparagine,L-Malate,Enterobacter,1,48,0.2362
1010,Acetic acid,L-Malate,Enterobacter,1,48,0.2362
5.26,Butyric acid,L-Malate,Enterobacter,1,48,0.2362
5.6,Citric acid,L-Malate,Enterobacter,1,48,0.2362
2.11,Serine,L-Malate,Enterobacter,1,48,0.2362
0,Putrescine,L-Malate,Enterobacter,1,48,0.2362
0,Alanine,L-Malate,Enterobacter,1,48,0.2362
13.7,Propionic acid,L-Malate,Enterobacter,1,48,0.2362
0,Lactic acid,L-Malate,Enterobacter,1,48,0.2362
2.81,Acetyl-ornithine,L-Malate,Enterobacter,1,48,0.2362
1.02,Valeric acid,L-Malate,Enterobacter,1,48,0.2362
0.272,Hippuric acid,L-Malate,Enterobacter,1,48,0.2362
0,alpha-Ketoglutaric acid,L-Malate,Enterobacter,1,48,0.2362
0,Glycine,L-Malate,Enterobacter,1,48,0.2362
0.241,Methionine,L-Malate,Enterobacter,1,48,0.2362
0.2,Succinic acid,L-Malate,Enterobacter,2,48,0.1801
0,Alanine,L-Malate,Enterobacter,2,48,0.1801
0,Pyruvic acid,L-Malate,Enterobacter,2,48,0.1801
0,Valine,L-Malate,Enterobacter,2,48,0.1801
0,Glycine,L-Malate,Enterobacter,2,48,0.1801
6.41,beta-Hydroxybutyric acid,L-Malate,Enterobacter,2,48,0.1801
0.16,Fumaric acid,L-Malate,Enterobacter,2,48,0.1801
0.545,Serine,L-Malate,Enterobacter,2,48,0.1801
16.3,Propionic acid,L-Malate,Enterobacter,2,48,0.1801
0,alpha-Ketoglutaric acid,L-Malate,Enterobacter,2,48,0.1801
0,Asparagine,L-Malate,Enterobacter,2,48,0.1801
2.83,Acetyl-ornithine,L-Malate,Enterobacter,2,48,0.1801
0.264,Hippuric acid,L-Malate,Enterobacter,2,48,0.1801
6.53,Butyric acid,L-Malate,Enterobacter,2,48,0.1801
1.11,Valeric acid,L-Malate,Enterobacter,2,48,0.1801
0,Lactic acid,L-Malate,Enterobacter,2,48,0.1801
0.12,Methionine,L-Malate,Enterobacter,2,48,0.1801
5.74,Citric acid,L-Malate,Enterobacter,2,48,0.1801
1160,Acetic acid,L-Malate,Enterobacter,2,48,0.1801
0,Putrescine,L-Malate,Enterobacter,2,48,0.1801
5.4,alpha-Ketoglutaric acid,L-Malate,Pputida,1,16,0.371
0,Butyric acid,L-Malate,Pputida,1,16,0.371
0,Glycine,L-Malate,Pputida,1,16,0.371
39.3,Succinic acid,L-Malate,Pputida,1,16,0.371
0.394,Serine,L-Malate,Pputida,1,16,0.371
1.49,beta-Hydroxybutyric acid,L-Malate,Pputida,1,16,0.371
0,Alanine,L-Malate,Pputida,1,16,0.371
338,Pyruvic acid,L-Malate,Pputida,1,16,0.371
7.03,Citric acid,L-Malate,Pputida,1,16,0.371
0,Putrescine,L-Malate,Pputida,1,16,0.371
0,Valine,L-Malate,Pputida,1,16,0.371
0,Asparagine,L-Malate,Pputida,1,16,0.371
1.48,Propionic acid,L-Malate,Pputida,1,16,0.371
0.473,Acetyl-ornithine,L-Malate,Pputida,1,16,0.371
0.181,Hippuric acid,L-Malate,Pputida,1,16,0.371
25.1,Acetic acid,L-Malate,Pputida,1,16,0.371
0.494,Valeric acid,L-Malate,Pputida,1,16,0.371
6.06,Fumaric acid,L-Malate,Pputida,1,16,0.371
0,Lactic acid,L-Malate,Pputida,1,16,0.371
0.245,Methionine,L-Malate,Pputida,1,16,0.371
0,Valine,L-Malate,Pputida,2,16,0.1382
0,Lactic acid,L-Malate,Pputida,2,16,0.1382
6.21,alpha-Ketoglutaric acid,L-Malate,Pputida,2,16,0.1382
1.14,beta-Hydroxybutyric acid,L-Malate,Pputida,2,16,0.1382
41.5,Succinic acid,L-Malate,Pputida,2,16,0.1382
2.05,Serine,L-Malate,Pputida,2,16,0.1382
0,Alanine,L-Malate,Pputida,2,16,0.1382
353,Pyruvic acid,L-Malate,Pputida,2,16,0.1382
0.92,Propionic acid,L-Malate,Pputida,2,16,0.1382
0,Glycine,L-Malate,Pputida,2,16,0.1382
17.1,Acetic acid,L-Malate,Pputida,2,16,0.1382
0,Asparagine,L-Malate,Pputida,2,16,0.1382
0,Putrescine,L-Malate,Pputida,2,16,0.1382
6.82,Fumaric acid,L-Malate,Pputida,2,16,0.1382
1.1,Acetyl-ornithine,L-Malate,Pputida,2,16,0.1382
0.0838,Methionine,L-Malate,Pputida,2,16,0.1382
0,Butyric acid,L-Malate,Pputida,2,16,0.1382
0.297,Valeric acid,L-Malate,Pputida,2,16,0.1382
0.147,Hippuric acid,L-Malate,Pputida,2,16,0.1382
7.44,Citric acid,L-Malate,Pputida,2,16,0.1382
1.48,Pyruvic acid,L-Malate,Pputida,1,28,0.2389
0,Lactic acid,L-Malate,Pputida,1,28,0.2389
0,Alanine,L-Malate,Pputida,1,28,0.2389
0,Valine,L-Malate,Pputida,1,28,0.2389
0.244,Succinic acid,L-Malate,Pputida,1,28,0.2389
2.06,Acetyl-ornithine,L-Malate,Pputida,1,28,0.2389
0.444,Glycine,L-Malate,Pputida,1,28,0.2389
0.825,beta-Hydroxybutyric acid,L-Malate,Pputida,1,28,0.2389
0,Asparagine,L-Malate,Pputida,1,28,0.2389
2.87,Butyric acid,L-Malate,Pputida,1,28,0.2389
0.156,Fumaric acid,L-Malate,Pputida,1,28,0.2389
0.467,Valeric acid,L-Malate,Pputida,1,28,0.2389
7.65,Propionic acid,L-Malate,Pputida,1,28,0.2389
0.258,Methionine,L-Malate,Pputida,1,28,0.2389
2.97,Serine,L-Malate,Pputida,1,28,0.2389
110,Acetic acid,L-Malate,Pputida,1,28,0.2389
0,alpha-Ketoglutaric acid,L-Malate,Pputida,1,28,0.2389
0.215,Hippuric acid,L-Malate,Pputida,1,28,0.2389
0,Putrescine,L-Malate,Pputida,1,28,0.2389
2.61,Citric acid,L-Malate,Pputida,1,28,0.2389
0,Alanine,L-Malate,Pputida,2,28,0.3023
0,Valine,L-Malate,Pputida,2,28,0.3023
1.96,Acetyl-ornithine,L-Malate,Pputida,2,28,0.3023
0.245,Succinic acid,L-Malate,Pputida,2,28,0.3023
8.68,Propionic acid,L-Malate,Pputida,2,28,0.3023
1.94,Pyruvic acid,L-Malate,Pputida,2,28,0.3023
1.05,beta-Hydroxybutyric acid,L-Malate,Pputida,2,28,0.3023
0.881,Serine,L-Malate,Pputida,2,28,0.3023
0,Asparagine,L-Malate,Pputida,2,28,0.3023
0,alpha-Ketoglutaric acid,L-Malate,Pputida,2,28,0.3023
0,Putrescine,L-Malate,Pputida,2,28,0.3023
1.03,Valeric acid,L-Malate,Pputida,2,28,0.3023
0,Glycine,L-Malate,Pputida,2,28,0.3023
3.64,Butyric acid,L-Malate,Pputida,2,28,0.3023
0.147,Methionine,L-Malate,Pputida,2,28,0.3023
0.187,Hippuric acid,L-Malate,Pputida,2,28,0.3023
161,Acetic acid,L-Malate,Pputida,2,28,0.3023
0,Lactic acid,L-Malate,Pputida,2,28,0.3023
0.138,Fumaric acid,L-Malate,Pputida,2,28,0.3023
2.62,Citric acid,L-Malate,Pputida,2,28,0.3023
0,Valine,L-Malate,Pputida,1,48,0.2462
4.07,Butyric acid,L-Malate,Pputida,1,48,0.2462
0.511,beta-Hydroxybutyric acid,L-Malate,Pputida,1,48,0.2462
0,Alanine,L-Malate,Pputida,1,48,0.2462
0.309,Asparagine,L-Malate,Pputida,1,48,0.2462
0.183,Succinic acid,L-Malate,Pputida,1,48,0.2462
2.42,Serine,L-Malate,Pputida,1,48,0.2462
0.133,Fumaric acid,L-Malate,Pputida,1,48,0.2462
10.4,Propionic acid,L-Malate,Pputida,1,48,0.2462
1.15,Pyruvic acid,L-Malate,Pputida,1,48,0.2462
0,Lactic acid,L-Malate,Pputida,1,48,0.2462
0,Putrescine,L-Malate,Pputida,1,48,0.2462
1.11,Valeric acid,L-Malate,Pputida,1,48,0.2462
2.27,Citric acid,L-Malate,Pputida,1,48,0.2462
0,alpha-Ketoglutaric acid,L-Malate,Pputida,1,48,0.2462
0.296,Hippuric acid,L-Malate,Pputida,1,48,0.2462
0.205,Methionine,L-Malate,Pputida,1,48,0.2462
0,Glycine,L-Malate,Pputida,1,48,0.2462
1.58,Acetyl-ornithine,L-Malate,Pputida,1,48,0.2462
321,Acetic acid,L-Malate,Pputida,1,48,0.2462
0,alpha-Ketoglutaric acid,L-Malate,Pputida,2,48,0.261
12.8,Propionic acid,L-Malate,Pputida,2,48,0.261
1.27,Pyruvic acid,L-Malate,Pputida,2,48,0.261
0,Valine,L-Malate,Pputida,2,48,0.261
0,Serine,L-Malate,Pputida,2,48,0.261
0,Alanine,L-Malate,Pputida,2,48,0.261
0,Asparagine,L-Malate,Pputida,2,48,0.261
0.508,beta-Hydroxybutyric acid,L-Malate,Pputida,2,48,0.261
1.9,Acetyl-ornithine,L-Malate,Pputida,2,48,0.261
0.156,Fumaric acid,L-Malate,Pputida,2,48,0.261
0.229,Succinic acid,L-Malate,Pputida,2,48,0.261
0,Lactic acid,L-Malate,Pputida,2,48,0.261
0,Methionine,L-Malate,Pputida,2,48,0.261
0,Glycine,L-Malate,Pputida,2,48,0.261
2.15,Citric acid,L-Malate,Pputida,2,48,0.261
4.78,Butyric acid,L-Malate,Pputida,2,48,0.261
1.1,Valeric acid,L-Malate,Pputida,2,48,0.261
0,Putrescine,L-Malate,Pputida,2,48,0.261
0.235,Hippuric acid,L-Malate,Pputida,2,48,0.261
258,Acetic acid,L-Malate,Pputida,2,48,0.261
3.94,Propionic acid,L-Malate,Pseudomonas,1,16,0.0934
5.92,alpha-Ketoglutaric acid,L-Malate,Pseudomonas,1,16,0.0934
0.422,Acetyl-ornithine,L-Malate,Pseudomonas,1,16,0.0934
373,Pyruvic acid,L-Malate,Pseudomonas,1,16,0.0934
0,Asparagine,L-Malate,Pseudomonas,1,16,0.0934
0.879,Butyric acid,L-Malate,Pseudomonas,1,16,0.0934
1.46,beta-Hydroxybutyric acid,L-Malate,Pseudomonas,1,16,0.0934
0,Valine,L-Malate,Pseudomonas,1,16,0.0934
0,Alanine,L-Malate,Pseudomonas,1,16,0.0934
0,Putrescine,L-Malate,Pseudomonas,1,16,0.0934
0.123,Hippuric acid,L-Malate,Pseudomonas,1,16,0.0934
1.47,Serine,L-Malate,Pseudomonas,1,16,0.0934
62.6,Acetic acid,L-Malate,Pseudomonas,1,16,0.0934
6.35,Citric acid,L-Malate,Pseudomonas,1,16,0.0934
0,Lactic acid,L-Malate,Pseudomonas,1,16,0.0934
0,Methionine,L-Malate,Pseudomonas,1,16,0.0934
0,Glycine,L-Malate,Pseudomonas,1,16,0.0934
0.207,Valeric acid,L-Malate,Pseudomonas,1,16,0.0934
33.6,Succinic acid,L-Malate,Pseudomonas,1,16,0.0934
8.79,Fumaric acid,L-Malate,Pseudomonas,1,16,0.0934
0.876,Serine,L-Malate,Pseudomonas,2,16,0.1312
371,Pyruvic acid,L-Malate,Pseudomonas,2,16,0.1312
