,Metabolite,Carbon source,Rate [mmol/gDW/h],Std. Err [mmol/gDW/h],Species,Dataset
351,Ophthalmate,Galactose,,,E. coli,SINTEF-23
352,Ophthalmate,L-malate,,,E. coli,SINTEF-23
353,Ophthalmate,L-alanine,,,E. coli,SINTEF-23
354,Orotate,Galactose,,,E. coli,SINTEF-23
355,Orotate,L-malate,,,E. coli,SINTEF-23
356,Orotate,L-alanine,,,E. coli,SINTEF-23
357,Orotate,Glucose,0.1174873575842236,0.0080188620214602,E. coli,Paczia-13
358,Orotate,Glucose,0.0001970053136147,3.369284301318787e-05,B. licheniformis,Paczia-13
359,Orotate,Glucose,0.0010432897064699,0.0002635111702626,S. cerevisiae,Paczia-13
360,Oxaloacetate,Glucose,0.0003189150030846,5.189960843045336e-05,E. coli,Paczia-13
361,Oxoproline,Galactose,,,E. coli,SINTEF-23
362,Oxoproline,L-malate,,,E. coli,SINTEF-23
363,Oxoproline,L-alanine,,,E. coli,SINTEF-23
364,P-hydroxyphenylacetate,Galactose,,,E. coli,SINTEF-23
365,P-hydroxyphenylacetate,L-malate,,,E. coli,SINTEF-23
366,P-hydroxyphenylacetate,L-alanine,,,E. coli,SINTEF-23
367,Pantothenate,Galactose,,,E. coli,SINTEF-23
368,Pantothenate,L-malate,,,E. coli,SINTEF-23
369,Pantothenate,L-alanine,,,E. coli,SINTEF-23
370,Phenylacetaldehyde,Galactose,,,E. coli,SINTEF-23
371,Phenylacetaldehyde,L-malate,,,E. coli,SINTEF-23
372,Phenylacetaldehyde,L-alanine,,,E. coli,SINTEF-23
373,Phenylalanine,Galactose,1.2177108158589878e-05,3.1300706636973253e-06,E. coli,SINTEF-23
374,Phenylalanine,L-malate,1.363297399268134e-05,4.710674548522922e-06,E. coli,SINTEF-23
375,Phenylalanine,L-alanine,1.4041800388890892e-05,5.9840895508096555e-06,E. coli,SINTEF-23
376,Phenylalanine,Glucose,1.7278650555083446e-05,1.4974062598291824e-06,E. coli,Paczia-13
377,Phenylalanine,Glucose,0.0001094756397765,5.099001628213043e-06,B. licheniformis,Paczia-13
378,Phenylalanine,Glucose,1.9959724864135424e-05,8.820682821494329e-06,S. cerevisiae,Paczia-13
379,Phosphoenolpyruvate,Glucose,0.0001992079065286,1.877104139078012e-05,E. coli,Paczia-13
380,Phosphoenolpyruvate,Glucose,0.000697617134289,3.07174881463392e-05,B. licheniformis,Paczia-13
381,Pipecolic acid,Galactose,4.50316486782669e-06,1.0365687742671482e-06,E. coli,SINTEF-23
382,Pipecolic acid,L-malate,9.02354328522043e-06,1.0208891859250378e-05,E. coli,SINTEF-23
383,Pipecolic acid,L-alanine,1.9262204695207297e-05,1.9339801190807515e-06,E. coli,SINTEF-23
384,Proline,Galactose,3.798474846007428e-06,3.8483288387222615e-06,E. coli,SINTEF-23
385,Proline,L-malate,7.895081779118543e-06,4.133663780183554e-06,E. coli,SINTEF-23
386,Proline,L-alanine,0.0002292960214957,6.109455054119868e-05,E. coli,SINTEF-23
387,Proline,Glucose,3.0548781357195924e-05,4.968749484875416e-06,E. coli,Paczia-13
388,Proline,Glucose,0.0027225280404824,0.000289233454286,C. glutamicum,Paczia-13
389,Proline,Glucose,0.0006335595081855,0.000186110600858,B. licheniformis,Paczia-13
390,Proline,Glucose,0.0009296011786834,6.575418183889116e-05,S. cerevisiae,Paczia-13
391,Propionate,Galactose,,,E. coli,SINTEF-23
392,Propionate,L-malate,0.0819709654873278,0.0138580866473435,E. coli,SINTEF-23
393,Propionate,L-alanine,0.1142596805206377,0.0148372236050565,E. coli,SINTEF-23
394,Putrescine,Galactose,,,E. coli,SINTEF-23
395,Putrescine,L-malate,,,E. coli,SINTEF-23
396,Putrescine,L-alanine,,,E. coli,SINTEF-23
397,Pyruvate,Galactose,,,E. coli,SINTEF-23
398,Pyruvate,L-malate,0.0579557874565107,0.0323950754589295,E. coli,SINTEF-23
399,Pyruvate,L-alanine,,,E. coli,SINTEF-23
400,Pyruvate,Glucose,0.5845960167902361,0.0280168968173776,E. coli,Paczia-13
401,Pyruvate,Glucose,0.1142717016921588,0.0076466828143493,B. licheniformis,Paczia-13
402,Pyruvate,Glucose,0.0593668583448132,0.0085041844730733,S. cerevisiae,Paczia-13
403,Quinate,Galactose,,,E. coli,SINTEF-23
404,Quinate,L-malate,,,E. coli,SINTEF-23
405,Quinate,L-alanine,,,E. coli,SINTEF-23
406,Ribose-5-phosphate,Glucose,0.0002760278398864,1.8089337318432788e-05,E. coli,Paczia-13
407,Ribose-5-phosphate,Glucose,3.3490186736417656e-05,2.4061949838477098e-06,C. glutamicum,Paczia-13
408,Ribose-5-phosphate,Glucose,0.0008845978992681,1.9282741308932167e-05,B. licheniformis,Paczia-13
409,Ribulose-5-phosphate,Glucose,6.441220288905058e-05,5.120836186872538e-06,E. coli,Paczia-13
410,Ribulose-5-phosphate,Glucose,8.423814289771244e-06,1.0944010895509192e-06,C. glutamicum,Paczia-13
411,Ribulose-5-phosphate,Glucose,0.000185470498363,4.885236751423599e-06,B. licheniformis,Paczia-13
412,S-adenosylhomocysteine,Galactose,,,E. coli,SINTEF-23
413,S-adenosylhomocysteine,L-malate,,,E. coli,SINTEF-23
414,S-adenosylhomocysteine,L-alanine,,,E. coli,SINTEF-23
415,S-adenosylmethionine,Galactose,,,E. coli,SINTEF-23
416,S-adenosylmethionine,L-malate,,,E. coli,SINTEF-23
417,S-adenosylmethionine,L-alanine,,,E. coli,SINTEF-23
418,Salicylate,Galactose,,,E. coli,SINTEF-23
419,Salicylate,L-malate,,,E. coli,SINTEF-23
420,Salicylate,L-alanine,,,E. coli,SINTEF-23
421,Sebacoyl-l-carnitine,Galactose,1.7689465610756607e-06,4.3314528353783875e-06,E. coli,SINTEF-23
422,Sebacoyl-l-carnitine,L-malate,-8.52483827331007e-07,7.775330211818929e-06,E. coli,SINTEF-23
423,Sebacoyl-l-carnitine,L-alanine,-6.602403041745538e-06,8.236564359811227e-06,E. coli,SINTEF-23
424,Sedoheptulose 7-phosphate,Glucose,2.3049547797835965e-05,1.5391210218695815e-06,C. glutamicum,Paczia-13
425,Serine,Galactose,,,E. coli,SINTEF-23
426,Serine,L-malate,0.0016683711545459,0.0004423859247972,E. coli,SINTEF-23
427,Serine,L-alanine,0.0004324756204459,0.0001655268163612,E. coli,SINTEF-23
428,Serine,Glucose,1.2143358869049868e-05,2.556147317414283e-06,E. coli,Paczia-13
429,Serine,Glucose,6.119895008188119e-05,2.192569809650602e-05,S. cerevisiae,Paczia-13
430,Shikimate,Glucose,0.0003121748609657,4.370552939945406e-05,B. licheniformis,Paczia-13
431,Stearoylcarnitine (c18),Galactose,,,E. coli,SINTEF-23
432,Stearoylcarnitine (c18),L-malate,,,E. coli,SINTEF-23
433,Stearoylcarnitine (c18),L-alanine,,,E. coli,SINTEF-23
434,Succinate,Galactose,0.0183791658781734,0.0238317159506849,E. coli,SINTEF-23
435,Succinate,L-malate,-0.1853129193524463,0.1389357998747534,E. coli,SINTEF-23
436,Succinate,L-alanine,0.0055647692992136,0.0069225331435558,E. coli,SINTEF-23
437,Succinate,Glucose,0.0025499031434721,0.0003810315592573,S. cerevisiae,Paczia-13
438,Thiamine monophosphate,Galactose,,,E. coli,SINTEF-23
439,Thiamine monophosphate,L-malate,,,E. coli,SINTEF-23
440,Thiamine monophosphate,L-alanine,,,E. coli,SINTEF-23
441,Threonine,Galactose,,,E. coli,SINTEF-23
442,Threonine,L-malate,,,E. coli,SINTEF-23
443,Threonine,L-alanine,,,E. coli,SINTEF-23
444,Threonine,Glucose,0.0001068174699021,7.390987958884974e-06,E. coli,Paczia-13
445,Threonine,Glucose,7.9141758312562e-05,5.465914558354732e-05,C. glutamicum,Paczia-13
446,Thymine,Galactose,,,E. coli,SINTEF-23
447,Thymine,L-malate,,,E. coli,SINTEF-23
448,Thymine,L-alanine,,,E. coli,SINTEF-23
449,Trans-aconitate,Galactose,5.562698919226019e-06,7.409493269105592e-07,E. coli,SINTEF-23
450,Trans-aconitate,L-malate,1.2322667056276784e-05,2.2376153971769514e-06,E. coli,SINTEF-23
451,Trans-aconitate,L-alanine,2.1347825932737253e-05,5.224154205574185e-06,E. coli,SINTEF-23
452,Trigonelline,Galactose,,,E. coli,SINTEF-23
453,Trigonelline,L-malate,,,E. coli,SINTEF-23
454,Trigonelline,L-alanine,,,E. coli,SINTEF-23
455,Trimethylamine,Galactose,,,E. coli,SINTEF-23
456,Trimethylamine,L-malate,,,E. coli,SINTEF-23
457,Trimethylamine,L-alanine,,,E. coli,SINTEF-23
458,Tryptophan,Glucose,2.055161141422716e-05,1.3931494548436595e-06,E. coli,Paczia-13
459,Tryptophan,Glucose,9.14755897528625e-08,3.297378578219866e-07,B. licheniformis,Paczia-13
460,Tyramine,Galactose,,,E. coli,SINTEF-23
461,Tyramine,L-malate,,,E. coli,SINTEF-23
462,Tyramine,L-alanine,,,E. coli,SINTEF-23
463,Tyrosine,Galactose,,,E. coli,SINTEF-23
464,Tyrosine,L-malate,,,E. coli,SINTEF-23
465,Tyrosine,L-alanine,3.280663263925048e-05,2.485236405518526e-05,E. coli,SINTEF-23
466,Tyrosine,Glucose,1.1653593475313149e-05,8.085399525156322e-07,E. coli,Paczia-13
467,Tyrosine,Glucose,8.745244420612227e-06,1.3306466134502832e-06,B. licheniformis,Paczia-13
468,Tyrosine,Glucose,5.827427440263339e-06,2.691619965620906e-06,S. cerevisiae,Paczia-13
469,Uracil,Galactose,,,E. coli,SINTEF-23
470,Uracil,L-malate,,,E. coli,SINTEF-23
471,Uracil,L-alanine,,,E. coli,SINTEF-23
472,Uracil,Glucose,0.0131415648985356,0.0027787213490176,E. coli,Paczia-13
473,Uracil,Glucose,0.0036798891375843,0.0004793349050625,B. licheniformis,Paczia-13
474,Uracil,Glucose,0.000456183856563,0.0011541766042588,S. cerevisiae,Paczia-13
475,Ureidopropionate,Galactose,,,E. coli,SINTEF-23
476,Ureidopropionate,L-malate,,,E. coli,SINTEF-23
477,Ureidopropionate,L-alanine,,,E. coli,SINTEF-23
478,Uridine diphosphate hexose,Galactose,,,E. coli,SINTEF-23
479,Uridine diphosphate hexose,L-malate,,,E. coli,SINTEF-23
480,Uridine diphosphate hexose,L-alanine,,,E. coli,SINTEF-23
481,Uridine monophosphate,Galactose,,,E. coli,SINTEF-23
482,Uridine monophosphate,L-malate,,,E. coli,SINTEF-23
483,Uridine monophosphate,L-alanine,,,E. coli,SINTEF-23
484,Urocanate,Galactose,,,E. coli,SINTEF-23
485,Urocanate,L-malate,,,E. coli,SINTEF-23
486,Urocanate,L-alanine,,,E. coli,SINTEF-23
487,Valine,Galactose,2.2405885573628385e-06,8.643821351116012e-06,E. coli,SINTEF-23
488,Valine,L-malate,,,E. coli,SINTEF-23
489,Valine,L-alanine,-0.0004579203667387,0.0004524236614816,E. coli,SINTEF-23
490,Valine,Glucose,6.091824542702503e-05,3.5803213943023236e-06,E. coli,Paczia-13
491,Valine,Glucose,0.0003876224623664,5.2566359468515634e-05,B. licheniformis,Paczia-13
492,Valine,Glucose,4.673562886390437e-05,1.585594720735042e-05,S. cerevisiae,Paczia-13
493,Xanthine,Galactose,,,E. coli,SINTEF-23
494,Xanthine,L-malate,,,E. coli,SINTEF-23
495,Xanthine,L-alanine,,,E. coli,SINTEF-23
496,Xanthosine,Galactose,,,E. coli,SINTEF-23
497,Xanthosine,L-malate,,,E. coli,SINTEF-23
498,Xanthosine,L-alanine,,,E. coli,SINTEF-23
499,Xylulose-5-phosphate,Glucose,6.441220288905058e-05,5.120836186872538e-06,E. coli,Paczia-13
500,Xylulose-5-phosphate,Glucose,8.423814289771244e-06,1.0944010895509192e-06,C. glutamicum,Paczia-13
501,Xylulose-5-phosphate,Glucose,0.000185470498363,4.885236751423599e-06,B. licheniformis,Paczia-13
502,cAMP,Galactose,,,E. coli,SINTEF-23
503,cAMP,L-malate,,,E. coli,SINTEF-23
504,cAMP,L-alanine,,,E. coli,SINTEF-23
