,Metabolite,Carbon source,Rate [mmol/gDW/h],Species,Dataset,Std. Err [mmol/gDW/h],Rate [mmol C/gDW/h],Rate [g/gDW/h]
589,Phosphoenolpyruvate,Glucose,0.0001992079065286,E. coli,Paczia-13,1.877104139078012e-05,0.0005976237195858,3.2872918407851335e-05
591,Pipecolic acid,Galactose,4.50316486782669e-06,E. coli,SINTEF-23,1.0365687742671482e-06,,
592,Pipecolic acid,L-malate,9.02354328522043e-06,E. coli,SINTEF-23,1.0208891859250378e-05,,
593,Pipecolic acid,L-alanine,1.9262204695207297e-05,E. coli,SINTEF-23,1.9339801190807515e-06,,
594,Proline,Galactose,3.798474846007428e-06,E. coli,SINTEF-23,3.8483288387222615e-06,1.899237423003714e-05,4.3732015631926433e-07
595,Proline,L-malate,7.895081779118543e-06,E. coli,SINTEF-23,4.133663780183554e-06,3.9475408895592716e-05,9.089643969675363e-07
596,Proline,L-alanine,0.0002292960214957,E. coli,SINTEF-23,6.109455054119868e-05,0.0011464801074785001,2.639895643096983e-05
597,Proline,Glucose,3.0548781357195924e-05,E. coli,Paczia-13,4.968749484875416e-06,0.00015274390678597964,3.517095250093391e-06
601,Propionate,Galactose,,E. coli,SINTEF-23,,,
602,Propionate,L-malate,0.0819709654873278,E. coli,SINTEF-23,0.0138580866473435,0.2459128964619834,0.0059896676307383346
603,Propionate,L-alanine,0.1142596805206377,E. coli,SINTEF-23,0.0148372236050565,0.3427790415619131,0.00834902341145131
627,Putrescine,Galactose,,E. coli,SINTEF-23,,,
628,Putrescine,L-malate,,E. coli,SINTEF-23,,,
629,Putrescine,L-alanine,,E. coli,SINTEF-23,,,
641,Pyruvate,Galactose,,E. coli,SINTEF-23,,,
642,Pyruvate,L-malate,0.0579557874565107,E. coli,SINTEF-23,0.0323950754589295,0.1738673623695321,0.005045290075933577
643,Pyruvate,L-alanine,,E. coli,SINTEF-23,,,
644,Pyruvate,Glucose,0.5845960167902361,E. coli,Paczia-13,0.0280168968173776,1.7537880503707082,0.05089149179717923
661,Quinate,Galactose,,E. coli,SINTEF-23,,,
662,Quinate,L-malate,,E. coli,SINTEF-23,,,
663,Quinate,L-alanine,,E. coli,SINTEF-23,,,
664,Ribose-5-phosphate,Glucose,0.0002760278398864,E. coli,Paczia-13,1.8089337318432788e-05,0.0013801391994319998,6.296027230484917e-05
667,Ribulose-5-phosphate,Glucose,6.441220288905058e-05,E. coli,Paczia-13,5.120836186872538e-06,0.0003220610144452529,1.4692031917211074e-05
670,S-adenosylhomocysteine,Galactose,,E. coli,SINTEF-23,,,
671,S-adenosylhomocysteine,L-malate,,E. coli,SINTEF-23,,,
672,S-adenosylhomocysteine,L-alanine,,E. coli,SINTEF-23,,,
673,S-adenosylmethionine,Galactose,,E. coli,SINTEF-23,,,
674,S-adenosylmethionine,L-malate,,E. coli,SINTEF-23,,,
675,S-adenosylmethionine,L-alanine,,E. coli,SINTEF-23,,,
676,Salicylate,Galactose,,E. coli,SINTEF-23,,,
677,Salicylate,L-malate,,E. coli,SINTEF-23,,,
678,Salicylate,L-alanine,,E. coli,SINTEF-23,,,
679,Sebacoyl-l-carnitine,Galactose,1.7689465610756607e-06,E. coli,SINTEF-23,4.3314528353783875e-06,,
680,Sebacoyl-l-carnitine,L-malate,-8.52483827331007e-07,E. coli,SINTEF-23,7.775330211818929e-06,,
681,Sebacoyl-l-carnitine,L-alanine,-6.602403041745538e-06,E. coli,SINTEF-23,8.236564359811227e-06,,
683,Serine,Galactose,,E. coli,SINTEF-23,,,
684,Serine,L-malate,0.0016683711545459,E. coli,SINTEF-23,0.0004423859247972,0.0050051134636377,0.00017533342902880736
685,Serine,L-alanine,0.0004324756204459,E. coli,SINTEF-23,0.0001655268163612,0.0012974268613377,4.544997873976038e-05
686,Serine,Glucose,1.2143358869049868e-05,E. coli,Paczia-13,2.556147317414283e-06,3.64300766071496e-05,1.2761769134143327e-06
701,Stearoylcarnitine (c18),Galactose,,E. coli,SINTEF-23,,,
702,Stearoylcarnitine (c18),L-malate,,E. coli,SINTEF-23,,,
703,Stearoylcarnitine (c18),L-alanine,,E. coli,SINTEF-23,,,
704,Succinate,Galactose,0.0183791658781734,E. coli,SINTEF-23,0.0238317159506849,0.0735166635126936,0.0021333094824778835
705,Succinate,L-malate,-0.1853129193524463,E. coli,SINTEF-23,0.1389357998747534,-0.7412516774097851,-0.021509670825144243
706,Succinate,L-alanine,0.0055647692992136,E. coli,SINTEF-23,0.0069225331435558,0.0222590771968544,0.0006459147924614088
734,Thiamine monophosphate,Galactose,,E. coli,SINTEF-23,,,
735,Thiamine monophosphate,L-malate,,E. coli,SINTEF-23,,,
736,Thiamine monophosphate,L-alanine,,E. coli,SINTEF-23,,,
737,Threonine,Galactose,,E. coli,SINTEF-23,,,
738,Threonine,L-malate,,E. coli,SINTEF-23,,,
739,Threonine,L-alanine,,E. coli,SINTEF-23,,,
740,Threonine,Glucose,0.0001068174699021,E. coli,Paczia-13,7.390987958884974e-06,0.0004272698796084,1.2724007288063433e-05
742,Thymine,Galactose,,E. coli,SINTEF-23,,,
743,Thymine,L-malate,,E. coli,SINTEF-23,,,
744,Thymine,L-alanine,,E. coli,SINTEF-23,,,
745,Trans-aconitate,Galactose,5.562698919226019e-06,E. coli,SINTEF-23,7.409493269105592e-07,3.337619351535611e-05,9.516911182304103e-07
746,Trans-aconitate,L-malate,1.2322667056276784e-05,E. coli,SINTEF-23,2.2376153971769514e-06,7.39360023376607e-05,2.108216346176221e-06
747,Trans-aconitate,L-alanine,2.1347825932737253e-05,E. coli,SINTEF-23,5.224154205574185e-06,0.00012808695559642352,3.652280417963312e-06
748,Trigonelline,Galactose,,E. coli,SINTEF-23,,,
749,Trigonelline,L-malate,,E. coli,SINTEF-23,,,
750,Trigonelline,L-alanine,,E. coli,SINTEF-23,,,
751,Trimethylamine,Galactose,,E. coli,SINTEF-23,,,
752,Trimethylamine,L-malate,,E. coli,SINTEF-23,,,
753,Trimethylamine,L-alanine,,E. coli,SINTEF-23,,,
754,Tryptophan,Glucose,2.055161141422716e-05,E. coli,Paczia-13,1.3931494548436595e-06,0.00022606772555649877,4.197156540360596e-06
756,Tyramine,Galactose,,E. coli,SINTEF-23,,,
757,Tyramine,L-malate,,E. coli,SINTEF-23,,,
758,Tyramine,L-alanine,,E. coli,SINTEF-23,,,
759,Tyrosine,Galactose,,E. coli,SINTEF-23,,,
760,Tyrosine,L-malate,,E. coli,SINTEF-23,,,
761,Tyrosine,L-alanine,3.280663263925048e-05,E. coli,SINTEF-23,2.485236405518526e-05,0.0002952596937532543,5.944185870222141e-06
762,Tyrosine,Glucose,1.1653593475313149e-05,E. coli,Paczia-13,8.085399525156322e-07,0.00010488234127781833,2.1114975875455153e-06
765,Uracil,Galactose,,E. coli,SINTEF-23,,,
766,Uracil,L-malate,,E. coli,SINTEF-23,,,
767,Uracil,L-alanine,,E. coli,SINTEF-23,,,
768,Uracil,Glucose,0.0131415648985356,E. coli,Paczia-13,0.0027787213490176,0.0525662595941424,0.0014729954308065841
771,Ureidopropionate,Galactose,,E. coli,SINTEF-23,,,
772,Ureidopropionate,L-malate,,E. coli,SINTEF-23,,,
773,Ureidopropionate,L-alanine,,E. coli,SINTEF-23,,,
774,Uridine diphosphate hexose,Galactose,,E. coli,SINTEF-23,,,
775,Uridine diphosphate hexose,L-malate,,E. coli,SINTEF-23,,,
776,Uridine diphosphate hexose,L-alanine,,E. coli,SINTEF-23,,,
777,Uridine monophosphate,Galactose,,E. coli,SINTEF-23,,,
778,Uridine monophosphate,L-malate,,E. coli,SINTEF-23,,,
779,Uridine monophosphate,L-alanine,,E. coli,SINTEF-23,,,
780,Urocanate,Galactose,,E. coli,SINTEF-23,,,
781,Urocanate,L-malate,,E. coli,SINTEF-23,,,
782,Urocanate,L-alanine,,E. coli,SINTEF-23,,,
806,Valine,Galactose,2.2405885573628385e-06,E. coli,SINTEF-23,8.643821351116012e-06,1.1202942786814193e-05,2.624767489409366e-07
807,Valine,L-malate,,E. coli,SINTEF-23,,,
808,Valine,L-alanine,-0.0004579203667387,E. coli,SINTEF-23,0.0004524236614816,-0.0022896018336935,-5.364369497489644e-05
809,Valine,Glucose,6.091824542702503e-05,E. coli,Paczia-13,3.5803213943023236e-06,0.00030459122713512516,7.13634949099772e-06
818,Xanthine,Galactose,,E. coli,SINTEF-23,,,
819,Xanthine,L-malate,,E. coli,SINTEF-23,,,
820,Xanthine,L-alanine,,E. coli,SINTEF-23,,,
821,Xanthosine,Galactose,,E. coli,SINTEF-23,,,
822,Xanthosine,L-malate,,E. coli,SINTEF-23,,,
823,Xanthosine,L-alanine,,E. coli,SINTEF-23,,,
824,Xylulose-5-phosphate,Glucose,6.441220288905058e-05,E. coli,Paczia-13,5.120836186872538e-06,0.0003220610144452529,1.4692031917211074e-05
827,cAMP,Galactose,,E. coli,SINTEF-23,,,
828,cAMP,L-malate,,E. coli,SINTEF-23,,,
829,cAMP,L-alanine,,E. coli,SINTEF-23,,,
