Ionization Mode,Ion Index,m/z,"Annotations (Compound Name, Modification, Sum-Formula, KEGG Code, HMDB Code)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,472,189.940,Thiocysteine .H/K-H(+) C3H7NO2S2 C01962 HMDB03585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,473,190.009,"L-2,3-Dihydrodipicolinate .H/Na-H(+) C7H7NO4 C03340 HMDB12247",2-Aminobenzenesulfonate +OH(-) C6H7NO3S C06333 n.a.,4-Aminobenzenesulfonate +OH(-) C6H7NO3S C06335 n.a.,"3-Methylpyrrole-2,4-dicarboxylic acid .H/Na-H(+) C7H7NO4 C12477 n.a.","5,6-Indolequinone-2-carboxylic acid -H(+) C9H5NO4 C17938 n.a.",4-Methyl-5-nitrocatechol .H/Na-H(+) C7H7NO4 C18315 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,474,190.051,5-Hydroxyindoleacetate -H(+) C10H9NO3 C05635 HMDB00763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,475,190.087,"LL-2,6-Diaminoheptanedioate [+1]-H(+) C7H14N2O4 C00666 HMDB01370","meso-2,6-Diaminoheptanedioate [+1]-H(+) C7H14N2O4 C00680 n.a.",5-Guanidino-2-oxopentanoate +OH(-) C6H11N3O3 C03771 n.a.,3-Dimethylallyl-4-hydroxybenzaldehyde [+1]-H(+) C12H14O2 C12459 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,476,190.888,H2O .HPO4K2-H(+) H2O C00001 HMDB02111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,477,190.931,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,478,190.968,Glycerone phosphate .H/Na-H(+) C3H7O6P C00111 HMDB01473,D-Glyceraldehyde 3-phosphate .H/Na-H(+) C3H7O6P C00118 n.a.,Propenoate .H2PO4Na-H(+) C3H4O2 C00511 n.a.,Methylglyoxal .H2PO4Na-H(+) C3H4O2 C00546 HMDB01167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,479,191.016,Citrate -H(+) C6H8O7 C00158 HMDB00094,Isocitrate -H(+) C6H8O7 C00311 HMDB00193,cis-Aconitate +OH(-) C6H6O6 C00417 HMDB00072,5-Dehydro-4-deoxy-D-glucarate -H(+) C6H8O7 C00679 n.a.,2-Dehydro-3-deoxy-D-glucarate -H(+) C6H8O7 C03921 n.a.,"(4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoate -H(+) C6H8O7 C04575 HMDB06511",Dehydroascorbate +OH(-) C6H6O6 C05422 n.a.,5-Ureido-4-imidazole carboxylate .H/Na-H(+) C5H6N4O3 C05515 n.a.,"5,6-Indolequinone-2-carboxylic acid [+1]-H(+) C9H5NO4 C17938 n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,480,191.049,Quinate -H(+) C7H12O6 C00296 n.a.,Shikimate +OH(-) C7H10O5 C00493 HMDB03070,(2S)-2-Isopropyl-3-oxosuccinate +OH(-) C7H10O5 C04236 HMDB12149,5-Hydroxyindoleacetate [+1]-H(+) C10H9NO3 C05635 HMDB00763,N-Isopropylammelide .H/Na-H(+) C6H10N4O2 C06553 n.a.,2-Methyl-3-oxoadipate +OH(-) C7H10O5 C18307 n.a.,4-Methyl-3-oxoadipate +OH(-) C7H10O5 C18312 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,481,191.066,N-Formimino-L-glutamate +OH(-) C6H10N2O4 C00439 HMDB00854,Sinapyl alcohol -H2O-H(+) C11H14O4 C02325 HMDB13070,"1,2-Dihydroxy-8-methylnaphthalene +OH(-) C11H10O2 C14084 n.a.","cis-1,2-Dihydroxy-1,2-dihydro-7-hydroxymethylnaphthalene -H(+) C11H12O3 C14104 n.a.",Formylisoglutamine +OH(-) C6H10N2O4 C16674 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,482,191.103,N-Acetylornithine +OH(-) C7H14N2O3 C00437 HMDB03357,"Limonene-1,2-diol .H/Na-H(+) C10H18O2 C07276 n.a.",(-)-Jasmonic acid -H2O-H(+) C12H18O3 C08491 n.a.,(+)-7-Isojasmonic acid -H2O-H(+) C12H18O3 C16317 n.a.,Citronellate .H/Na-H(+) C10H18O2 C16462 n.a.,10-Hydroxygeraniol .H/Na-H(+) C10H18O2 C17621 n.a.,8-Methyl-6-nonenoic acid .H/Na-H(+) C10H18O2 C18202 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,483,191.189,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,484,192.020,Citrate [+1]-H(+) C6H8O7 C00158 HMDB00094,Isocitrate [+1]-H(+) C6H8O7 C00311 HMDB00193,cis-Aconitate [+1]+OH(-) C6H6O6 C00417 HMDB00072,5-Dehydro-4-deoxy-D-glucarate [+1]-H(+) C6H8O7 C00679 n.a.,Monodehydroascorbate +OH(-) C6H7O6 C01041 n.a.,2-Dehydro-3-deoxy-D-glucarate [+1]-H(+) C6H8O7 C03921 n.a.,"2,3,4,5-Tetrahydrodipicolinate .H/Na-H(+) C7H9NO4 C03972 HMDB12289","(4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoate [+1]-H(+) C6H8O7 C04575 HMDB06511",Dehydroascorbate [+1]+OH(-) C6H6O6 C05422 n.a.,AminoDHS .H/Na-H(+) C7H9NO4 C12108 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,485,192.884,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,486,192.915,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,487,192.962,Acetone .H2PO4K-H(+) C3H6O C00207 HMDB01659,Orotate .H/K-H(+) C5H4N2O4 C00295 HMDB00226,Propanal .H2PO4K-H(+) C3H6O C00479 HMDB03366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,488,192.988,sn-Glycerol 3-phosphate .H/Na-H(+) C3H9O6P C00093 HMDB00126,Propanoate .H2PO4Na-H(+) C3H6O2 C00163 HMDB00237,(S)-Lactaldehyde .H2PO4Na-H(+) C3H6O2 C00424 HMDB03052,(R)-Lactaldehyde .H2PO4Na-H(+) C3H6O2 C00937 HMDB06458,3-Hydroxypropanal .H2PO4Na-H(+) C3H6O2 C00969 HMDB03453,"2-Chloro-cis,cis-muconate +OH(-) C6H5ClO4 C03572 n.a.","3-Chloro-cis,cis-muconate +OH(-) C6H5ClO4 C03585 n.a.","3-Methyl-cis,cis-hexadienedioate .H/K-H(+) C7H8O4 C04112 n.a.","(2S,3S)-2,3-Dihydro-2,3-dihydroxybenzoate .H/K-H(+) C7H8O4 C04171 n.a.","2-Chloro-2,5-dihydro-5-oxofuran-2-acetate +OH(-) C6H5ClO4 C04522 n.a.",3-Methylmuconolactone .H/K-H(+) C7H8O4 C04558 n.a.,4-Methylmuconolactone .H/K-H(+) C7H8O4 C04559 n.a.,Hydroxyacetone .H2PO4Na-H(+) C3H6O2 C05235 HMDB06961,Lactaldehyde .H2PO4Na-H(+) C3H6O2 C05999 n.a.,"2-Hydroxy-6-keto-2,4-heptadienoate .H/K-H(+) C7H8O4 C06210 n.a.","1,6-Dihydroxy-cis-2,4-cyclohexadiene-1-carboxylic acid .H/K-H(+) C7H8O4 C06321 n.a.",Toluene-4-sulfonate .H/Na-H(+) C7H8O3S C06677 n.a.,"2-Hydroxy-5-methyl-cis,cis-muconic semialdehyde .H/K-H(+) C7H8O4 C06760 n.a.",5-Chloro-2-hydroxymuconic semialdehyde +OH(-) C6H5ClO4 C07089 n.a.,2-Chloro-3-oxoadipate -H(+) C6H7ClO5 C12836 n.a.,3-Chloro-2-hydroxymuconic semialdehyde +OH(-) C6H5ClO4 C16266 n.a.,4-Methyl-3-oxoadipate-enol-lactone .H/K-H(+) C7H8O4 C18311 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,489,193.021,Citrate [+2]-H(+) C6H8O7 C00158 HMDB00094,Isocitrate [+2]-H(+) C6H8O7 C00311 HMDB00193,5-Dehydro-4-deoxy-D-glucarate [+2]-H(+) C6H8O7 C00679 n.a.,2-Dehydro-3-deoxy-D-glucarate [+2]-H(+) C6H8O7 C03921 n.a.,"(4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoate [+2]-H(+) C6H8O7 C04575 HMDB06511",Hydantoin-5-propionate .H/Na-H(+) C6H8N2O4 C05565 HMDB01212,1-Butanol .H2PO4Na-H(+) C4H10O C06142 HMDB04327,1-Hydroxy-2-naphthaldehyde .H/Na-H(+) C11H8O2 C11427 n.a.,1-Naphthoic acid .H/Na-H(+) C11H8O2 C14091 n.a.,2-Naphthoic acid .H/Na-H(+) C11H8O2 C14101 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,490,193.046,N-Carbamoyl-L-aspartate +OH(-) C5H8N2O5 C00438 HMDB00828,Ferulate -H(+) C10H10O4 C01494 n.a.,5-Hydroxyconiferaldehyde -H(+) C10H10O4 C12204 n.a.,2-Oxo-6-methylthiohexanoic acid +OH(-) C7H12O3S C17216 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,491,193.082,"cis-1,2-Dihydroxy-1,2-dihydro-8-methylnaphthalene +OH(-) C11H12O2 C14083 n.a.","cis-1,2-Dihydroxy-1,2-dihydro-7-methylnaphthalene +OH(-) C11H12O2 C14102 n.a.","5,6,7,8-Tetrahydro-2-naphthoic acid +OH(-) C11H12O2 C14111 n.a.",9-Oxononanoic acid .H/Na-H(+) C9H16O3 C16322 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,492,193.117,Decanoic acid .H/Na-H(+) C10H20O2 C01571 HMDB00511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,493,194.086,"cis-1,2-Dihydroxy-1,2-dihydro-8-methylnaphthalene [+1]+OH(-) C11H12O2 C14083 n.a.","cis-1,2-Dihydroxy-1,2-dihydro-7-methylnaphthalene [+1]+OH(-) C11H12O2 C14102 n.a.","5,6,7,8-Tetrahydro-2-naphthoic acid [+1]+OH(-) C11H12O2 C14111 n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,494,194.879,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,495,194.899,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,496,194.942,Diphosphate +OH(-) P2H4O7 C00013 HMDB00250,Acetate .H2PO4K-H(+) C2H4O2 C00033 HMDB00042,Glycolaldehyde .H2PO4K-H(+) C2H4O2 C00266 HMDB03344,2-Propynal .HPO4Na2-H(+) C3H2O C05985 HMDB06803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,497,194.976,(S)-Dihydroorotate .H/K-H(+) C5H6N2O4 C00337 HMDB00528,Phenolic phosphate .H/Na-H(+) C6H7O4P C02734 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,498,195.048,"D-Glucono-1,5-lactone +OH(-) C6H10O6 C00198 HMDB00150",2-Dehydro-3-deoxy-D-gluconate +OH(-) C6H10O6 C00204 n.a.,D-Gluconic acid -H(+) C6H12O7 C00257 HMDB00625,D-Mannonate -H(+) C6H12O7 C00514 n.a.,"2,4,6/3,5-Pentahydroxycyclohexanone +OH(-) C6H10O6 C00691 n.a.",L-Gulonate -H(+) C6H12O7 C00800 HMDB03290,D-Altronate -H(+) C6H12O7 C00817 n.a.,D-Galactonate -H(+) C6H12O7 C00880 n.a.,"L-Gulono-1,4-lactone +OH(-) C6H10O6 C01040 HMDB03466","L-Galactono-1,4-lactone +OH(-) C6H10O6 C01115 n.a.",2-Dehydro-3-deoxy-D-galactonate +OH(-) C6H10O6 C01216 n.a.,(Indol-3-yl)acetamide .H/Na-H(+) C10H10N2O C02693 n.a.,Indole-3-acetaldehyde oxime .H/Na-H(+) C10H10N2O C02937 n.a.,"D-Galactono-1,4-lactone +OH(-) C6H10O6 C03383 HMDB02541",2-Deoxy-5-keto-D-gluconic acid +OH(-) C6H10O6 C06892 n.a.,L-Galactonate -H(+) C6H12O7 C15930 n.a.,"1,7-Dimethyluric acid -H(+) C7H8N4O3 C16356 n.a.",5-Deoxy glucuronic acid +OH(-) C6H10O6 C16737 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,499,195.080,L-Arginine .H/Na-H(+) C6H14N4O2 C00062 HMDB00517,D-Arginine .H/Na-H(+) C6H14N4O2 C00792 HMDB03416,Phenanthrene +OH(-) C14H10 C11422 n.a.,Anthracene +OH(-) C14H10 C14315 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,500,195.112,(S)-6-Hydroxynicotine +OH(-) C10H14N2O C01056 n.a.,Dethiobiotin -H2O-H(+) C10H18N2O3 C01909 HMDB03581,(R)-6-Hydroxynicotine +OH(-) C10H14N2O C03043 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,501,195.896,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,502,195.942,Carbamate .H2PO4K-H(+) CH3NO2 C01563 HMDB03551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,503,195.984,Cysteamine .H2PO4Na-H(+) C2H7NS C01678 HMDB02991,3-Oxoadipyl-CoA .H/Na-H(+) C6H7O4S C02232 n.a.,L-Selenomethionine -H(+) C5H11NO2Se C05335 HMDB03966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,504,196.020,N-Acetyl-L-aspartate .H/Na-H(+) C6H9NO5 C01042 HMDB00812,N-Formyl-L-glutamate .H/Na-H(+) C6H9NO5 C01045 HMDB03470,"3-Hydroxy-2-methylpyridine-4,5-dicarboxylate -H(+) C8H7NO5 C04604 HMDB06955",Clavulanate-9-aldehyde -H(+) C8H7NO5 C06661 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,505,196.054,D-Gluconic acid [+1]-H(+) C6H12O7 C00257 HMDB00625,"3,4-Dihydroxy-L-phenylalanine -H(+) C9H11NO4 C00355 HMDB00181",D-Mannonate [+1]-H(+) C6H12O7 C00514 n.a.,L-Gulonate [+1]-H(+) C6H12O7 C00800 HMDB03290,D-Altronate [+1]-H(+) C6H12O7 C00817 n.a.,D-Galactonate [+1]-H(+) C6H12O7 C00880 n.a.,Hippurate +OH(-) C9H9NO3 C01586 HMDB00714,Cyclohexylsulfamate +OH(-) C6H13NO3S C02824 n.a.,N-Hydroxy-L-tyrosine -H(+) C9H11NO4 C03004 n.a.,L-Galactonate [+1]-H(+) C6H12O7 C15930 n.a.,"1,7-Dimethyluric acid [+1]-H(+) C7H8N4O3 C16356 n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,506,196.923,Carbonic acid .H2PO4K-H(+) H2CO3 C01353 HMDB03538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,507,196.973,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,508,197.015,N-Carbamoyl-L-aspartate .H/Na-H(+) C5H8N2O5 C00438 HMDB00828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,509,197.048,Tryptamine .H/K-H(+) C10H12N2 C00398 HMDB00303,3-(4-Hydroxyphenyl)pyruvate +OH(-) C9H8O4 C01179 HMDB00707,Caffeate +OH(-) C9H8O4 C01197 HMDB03501,"3-(3,4-Dihydroxyphenyl)lactate -H(+) C9H10O5 C01207 HMDB03503",3-Propylmalate .H/Na-H(+) C7H12O5 C02123 n.a.,(2S)-2-Isopropylmalate .H/Na-H(+) C7H12O5 C02504 HMDB00402,5-Methylthio-D-ribose +OH(-) C6H12O4S C03089 HMDB01087,"(2R,3S)-3-Isopropylmalate .H/Na-H(+) C7H12O5 C04411 HMDB12156",2-Hydroxy-3-(4-hydroxyphenyl)propenoate +OH(-) C9H8O4 C05350 HMDB06915,Nicotinurate +OH(-) C8H8N2O3 C05380 HMDB03269,3-Methoxy-4-hydroxymandelate -H(+) C9H10O5 C05584 HMDB00291,Clavaminic acid -H(+) C8H10N2O4 C06660 n.a.,Anatabine .H/K-H(+) C10H12N2 C10126 HMDB04476,"trans-2,3-Dihydroxycinnamate +OH(-) C9H8O4 C12623 n.a.","cis-1,2-Dihydroxy-1,2-dihydro-8-methylnaphthalene .H/Na-H(+) C11H12O2 C14083 n.a.","cis-1,2-Dihydroxy-1,2-dihydro-7-methylnaphthalene .H/Na-H(+) C11H12O2 C14102 n.a.","5,6,7,8-Tetrahydro-2-naphthoic acid .H/Na-H(+) C11H12O2 C14111 n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,510,197.077,Coniferyl alcohol +OH(-) C10H12O3 C00590 HMDB12915,"cis-2,3-Dihydroxy-2,3-dihydro-p-cumate -H(+) C10H14O4 C06579 n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,511,197.111,Hercynine -H(+) C9H16N3O2 C05575 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,512,197.150,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,513,198.071,L-Tyrosine +OH(-) C9H11NO3 C00082 HMDB00158,3-Amino-3-(4-hydroxyphenyl)propanoate +OH(-) C9H11NO3 C04368 HMDB03831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,514,198.112,Hercynine [+1]-H(+) C9H16N3O2 C05575 n.a.,Ecgonine methyl ester -H(+) C10H17NO3 C12448 HMDB06406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,515,198.913,Diphosphate .H/Na-H(+) P2H4O7 C00013 HMDB00250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,516,198.993,D-Erythrose 4-phosphate -H(+) C4H9O7P C00279 HMDB01321,2-Oxo-4-phosphonobutanoate +OH(-) C4H7O6P C17941 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,517,199.018,"D-Glucono-1,5-lactone .H/Na-H(+) C6H10O6 C00198 HMDB00150",2-Dehydro-3-deoxy-D-gluconate .H/Na-H(+) C6H10O6 C00204 n.a.,"2,4,6/3,5-Pentahydroxycyclohexanone .H/Na-H(+) C6H10O6 C00691 n.a.",4-Maleylacetoacetate -H(+) C8H8O6 C01036 HMDB02052,"L-Gulono-1,4-lactone .H/Na-H(+) C6H10O6 C01040 HMDB03466",4-Fumarylacetoacetate -H(+) C8H8O6 C01061 HMDB01268,"L-Galactono-1,4-lactone .H/Na-H(+) C6H10O6 C01115 n.a.",2-Dehydro-3-deoxy-D-galactonate .H/Na-H(+) C6H10O6 C01216 n.a.,"D-Galactono-1,4-lactone .H/Na-H(+) C6H10O6 C03383 HMDB02541",2-Hydroxy-5-carboxymethylmuconate semialdehyde -H(+) C8H8O6 C04642 n.a.,"cis-4,5-Dihydroxycyclohexa-1(6),2-diene-1,2-dicarboxylate -H(+) C8H8O6 C04783 n.a.",2-Deoxy-5-keto-D-gluconic acid .H/Na-H(+) C6H10O6 C06892 n.a.,"3,5-Dihydroxyphenylglyoxylate +OH(-) C8H6O5 C12325 n.a.",2-Hydroxyisophthalic acid +OH(-) C8H6O5 C14097 n.a.,5-Deoxy glucuronic acid .H/Na-H(+) C6H10O6 C16737 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,518,199.036,Coniferyl aldehyde .H/Na-H(+) C10H10O3 C02666 n.a.,3-Methylindolepyruvate -NH3-H(+) C12H11NO3 C05644 n.a.,"2,4-Dinitrotoluene +OH(-) C7H6N2O4 C11006 n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,519,199.069,Uridine -CO2-H(+) C9H12N2O6 C00299 HMDB00296,Pseudouridine -CO2-H(+) C9H12N2O6 C02067 HMDB00767,Dihydroclavaminic acid -H(+) C8H12N2O4 C06659 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,520,199.092,Iridotrial +OH(-) C10H14O3 C06070 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,521,199.131,Decahydro-2-naphthoic acid +OH(-) C11H18O2 C14113 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,522,199.166,Dodecanoic acid -H(+) C12H24O2 C02679 HMDB00638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,523,199.909,HSO3- .H2PO4Na-H(+) HSO3 C11481 HMDB01033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,524,200.068,Dihydroclavaminic acid [+1]-H(+) C8H12N2O4 C06659 n.a.,"2'-Aminobiphenyl-2,3-diol -H(+) C12H11NO2 C08061 n.a.",4-Amino-2-hydroxylamino-6-nitrotoluene +OH(-) C7H9N3O3 C16403 n.a.,L-Homophenylalanine .H/Na-H(+) C10H13NO2 C17235 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,525,200.095,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,526,200.126,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,527,200.170,Dodecanoic acid [+1]-H(+) C12H24O2 C02679 HMDB00638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,528,200.901,no annotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,529,200.950,Acetate .HPO4Na2-H(+) C2H4O2 C00033 HMDB00042,Glycolaldehyde .HPO4Na2-H(+) C2H4O2 C00266 HMDB03344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,530,200.975,3-Phosphonooxypyruvate +OH(-) C3H5O7P C03232 HMDB01024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,531,201.000,D-Erythrose 4-phosphate [+2]-H(+) C4H9O7P C00279 HMDB01321,"2-Pyrone-4,6-dicarboxylate +OH(-) C7H4O6 C03671 n.a.","4-Carboxy-2-hydroxy-cis,cis-muconate -H(+) C7H6O7 C04324 n.a.","(E)-4-Oxobut-1-ene-1,2,4-tricarboxylate -H(+) C7H6O7 C04434 n.a.","4-Carboxy-2-hydroxyhexa-2,4-dienedioate -H(+) C7H6O7 C04451 n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,532,201.047,Coniferyl alcohol .H/Na-H(+) C10H12O3 C00590 HMDB12915,"2,2',3-Trihydroxybiphenyl -H(+) C12H10O3 C03569 n.a.",Dibenzo-p-dioxin +OH(-) C12H8O2 C07732 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,533,201.080,Proclavaminic acid -H(+) C8H14N2O4 C06658 n.a.,Bis(4-hydroxyphenyl)methane [+2]-H(+) C13H12O2 C14298 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,534,201.107,(3R)-3-Isopropenyl-6-oxoheptanoate +OH(-) C10H16O3 C11405 n.a.,(3S)-3-Isopropenyl-6-oxoheptanoate +OH(-) C10H16O3 C11419 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,535,201.948,Carbamate .HPO4Na2-H(+) CH3NO2 C01563 HMDB03551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,536,202.047,L-Tyrosine .H/Na-H(+) C9H11NO3 C00082 HMDB00158,Indolepyruvate -H(+) C11H9NO3 C00331 HMDB00734,3-Amino-3-(4-hydroxyphenyl)propanoate .H/Na-H(+) C9H11NO3 C04368 HMDB03831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,537,202.106,N6-(delta2-Isopentenyl)-adenine -H(+) C10H13N5 C04083 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,538,202.931,Carbonic acid .HPO4Na2-H(+) H2CO3 C01353 HMDB03538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neg,539,202.991,3-Phospho-D-glycerate +OH(-) C3H7O7P C00197 n.a.,D-Xylonate .H/K-H(+) C5H10O6 C00502 n.a.,L-Arabinonate .H/K-H(+) C5H10O6 C00545 HMDB00539,2-Phospho-D-glycerate +OH(-) C3H7O7P C00631 HMDB03391,L-Xylonate .H/K-H(+) C5H10O6 C05411 n.a.,L-Lyxonate .H/K-H(+) C5H10O6 C05412 n.a.,"3,5-Dihydroxyphenylglyoxylate .H/Na-H(+) C8H6O5 C12325 n.a.",2-Hydroxyisophthalic acid .H/Na-H(+) C8H6O5 C14097 n.a.,7-Methylxanthine .H/K-H(+) C6H6N4O2 C16353 HMDB01991,3-Methylxanthine .H/K-H(+) C6H6N4O2 C16357 HMDB01886,1-Methylxanthine .H/K-H(+) C6H6N4O2 C16358 n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
