,Metabolite,Carbon source,Rate [mmol/gDW/h],Std. Err [mmol/gDW/h],Metabolite value [gDW/mmol],N carbons,Mol weight [g/mol],Turnover [mmol/gDW/h],Species,Dataset,Metabolite id,Charge,Phosphate,Compound class,Comment,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotatable Bond Count,Topological Polar Surface Area,Charge (pubchem),xlogP,pubchem id,Formula,Molecular weight [g/mol],ECMDB name,ECMDB ID,Park et al. name,Thorfinnsdottir et al. abbrv,Intracellular concentration [uM],log10(Rate [mmol/gDW/h]),log10(Metabolite value [gDW/mmol]),Rate [mmol C/gDW/h],Rate [g/gDW/h],Metabolite value [gDW/mmol C],Metabolite value [gDW/g],log10(Rate [mmol C/gDW/h]),log10(Rate [g/gDW/h]),log10(Metabolite value [gDW/mmol C]),log10(Metabolite value [gDW/g]),log10(Turnover [mmol/gDW/h]),Species - Carbon source,Intracellular concentration [M]
183,Beta-hydroxybutyrate,Glycerol,0.0021339006334343,0.0007655220618543,,,,,Ecoli,Vila-23,bhb,-1.0,0.0,Other,,1.0,3.0,1.0,60.4,-1.0,0.1,3541112.0,C4H7O3-,103.1,3-Hydroxybutyric acid,ECMDB21418,,,,-2.6708258076650213,,,,,,,,,,,Ecoli - Glycerol,
184,Beta-hydroxybutyrate,Pyruvate,0.0051915677310391,0.0013246617846132,,,,,Ecoli,Vila-23,bhb,-1.0,0.0,Other,,1.0,3.0,1.0,60.4,-1.0,0.1,3541112.0,C4H7O3-,103.1,3-Hydroxybutyric acid,ECMDB21418,,,,-2.2847014756529544,,,,,,,,,,,Ecoli - Pyruvate,
185,Beta-hydroxybutyrate,L-Malate,0.0027247550121499,0.0003719080947065,,,,,Enterobacter,Vila-23,bhb,-1.0,0.0,Other,,1.0,3.0,1.0,60.4,-1.0,0.1,3541112.0,C4H7O3-,103.1,3-Hydroxybutyric acid,ECMDB21418,,,,-2.5646725398660397,,,,,,,,,,,Enterobacter - L-Malate,
186,Beta-hydroxybutyrate,D-Fructose,0.0009133379146963,3.68901544192298e-05,,,,,Enterobacter,Vila-23,bhb,-1.0,0.0,Other,,1.0,3.0,1.0,60.4,-1.0,0.1,3541112.0,C4H7O3-,103.1,3-Hydroxybutyric acid,ECMDB21418,,,,-3.039368513444166,,,,,,,,,,,Enterobacter - D-Fructose,
187,Beta-hydroxybutyrate,Pyruvate,0.0088070206418093,0.0005773075025794,,,,,Enterobacter,Vila-23,bhb,-1.0,0.0,Other,,1.0,3.0,1.0,60.4,-1.0,0.1,3541112.0,C4H7O3-,103.1,3-Hydroxybutyric acid,ECMDB21418,,,,-2.0551709857604092,,,,,,,,,,,Enterobacter - Pyruvate,
188,Beta-hydroxybutyrate,L-Malate,0.0036585394203487,0.000524560035806,0.0262838465849013,4.0,103.09658,0.0,Pputida,Vila-23,bhb,-1.0,0.0,Other,,1.0,3.0,1.0,60.4,-1.0,0.1,3541112.0,C4H7O3-,103.1,3-Hydroxybutyric acid,ECMDB21418,,,,-2.436692261131427,-1.5803110763896508,0.0146341576813948,0.0003771829020331334,0.006570961646225325,0.25494392330862287,-1.8346322698034645,-3.423448002363559,-2.182371067717613,-0.5935553351575187,-inf,Pputida - L-Malate,
189,Beta-hydroxybutyrate,Acetate,0.0005571513466966,4.2378535944166425e-06,0.0824189752519966,4.0,103.09658,0.0,Pputida,Vila-23,bhb,-1.0,0.0,Other,,1.0,3.0,1.0,60.4,-1.0,0.1,3541112.0,C4H7O3-,103.1,3-Hydroxybutyric acid,ECMDB21418,,,,-3.2540268154062755,-1.0839727895344335,0.0022286053867864,5.744039838681376e-05,0.02060474381299915,0.7994346199650522,-2.6519668240783134,-4.240782556638408,-1.6860327808623958,-0.09721704830230127,-inf,Pputida - Acetate,
190,Beta-hydroxybutyrate,Pyruvate,0.0018334716461158,8.505498897718356e-05,0.0714926712860469,4.0,103.09658,0.0,Pputida,Vila-23,bhb,-1.0,0.0,Other,,1.0,3.0,1.0,60.4,-1.0,0.1,3541112.0,C4H7O3-,103.1,3-Hydroxybutyric acid,ECMDB21418,,,,-2.736725801836819,-1.1457384754459006,0.0073338865844632,0.00018902465624150928,0.017873167821511726,0.6934533743606907,-2.1346658105088565,-3.723481543068951,-1.7477984667738629,-0.15898273421376832,-inf,Pputida - Pyruvate,
191,Beta-hydroxybutyrate,D-Glucose,0.0003540933150791,0.0002579111409048,0.0797515484087491,4.0,103.09658,0.4959147792707422,Pseudomonas,Vila-23,bhb,-1.0,0.0,Other,,1.0,3.0,1.0,60.4,-1.0,0.1,3541112.0,C4H7O3-,103.1,3-Hydroxybutyric acid,ECMDB21418,,,,-3.4508822722016843,-1.0982608761849213,0.0014163732603164,3.6505809785517644e-05,0.019937887102187274,0.7735615323878745,-2.8488222808737222,-4.4376380134338165,-1.7003208675128838,-0.11150513495278916,-0.3045929486556819,Pseudomonas - D-Glucose,
192,Beta-hydroxybutyrate,L-Malate,0.0009456907553452,0.0001695692084422,0.0751563783320641,4.0,103.09658,0.0,Pseudomonas,Vila-23,bhb,-1.0,0.0,Other,,1.0,3.0,1.0,60.4,-1.0,0.1,3541112.0,C4H7O3-,103.1,3-Hydroxybutyric acid,ECMDB21418,,,,-3.0242508564138455,-1.12403415603687,0.0037827630213808,9.749748261370684e-05,0.018789094583016024,0.7289900240343966,-2.422190865085883,-4.011006597645977,-1.7260941473648326,-0.13727841480473796,-inf,Pseudomonas - L-Malate,
193,Beta-hydroxybutyrate,Acetate,0.0006637798379369,0.0006454878929015,0.0831159315941965,4.0,103.09658,0.0,Pseudomonas,Vila-23,bhb,-1.0,0.0,Other,,1.0,3.0,1.0,60.4,-1.0,0.1,3541112.0,C4H7O3-,103.1,3-Hydroxybutyric acid,ECMDB21418,,,,-3.177975943258736,-1.0803157230234628,0.0026551193517476,6.843343116424865e-05,0.020778982898549125,0.8061948475322508,-2.5759159519307735,-4.164731684490868,-1.6823757143514253,-0.09355998179133068,-inf,Pseudomonas - Acetate,
194,Beta-hydroxybutyrate,Pyruvate,0.0075390769545684,0.0011150925249147,0.0725455699715146,4.0,103.09658,0.0,Pseudomonas,Vila-23,bhb,-1.0,0.0,Other,,1.0,3.0,1.0,60.4,-1.0,0.1,3541112.0,C4H7O3-,103.1,3-Hydroxybutyric acid,ECMDB21418,,,,-2.1226818236364493,-1.1393891028081575,0.0301563078182736,0.0007772530503728175,0.01813639249287865,0.7036661155153215,-1.520621832308487,-3.1094375648685815,-1.74144909413612,-0.15263336157602542,-inf,Pseudomonas - Pyruvate,
195,Beta-hydroxybutyrate,Succinate,0.0003958601549484,0.0001066010499663,0.07578121710195,4.0,103.09658,0.162461980154962,Pseudomonas,Vila-23,bhb,-1.0,0.0,Other,,1.0,3.0,1.0,60.4,-1.0,0.1,3541112.0,C4H7O3-,103.1,3-Hydroxybutyric acid,ECMDB21418,,,,-3.402458209682243,-1.120438423916976,0.0015834406197936,4.081182813345012e-05,0.0189453042754875,0.7350507369104776,-2.8003982183542804,-4.3892139509143755,-1.7224984152449383,-0.13368268268484376,-0.7892482577055616,Pseudomonas - Succinate,
196,Beta-hydroxybutyrate,Fumarate,0.0004527780929301,0.0002535718205539,0.0754293878763384,4.0,103.09658,0.3437598341249497,Pseudomonas,Vila-23,bhb,-1.0,0.0,Other,,1.0,3.0,1.0,60.4,-1.0,0.1,3541112.0,C4H7O3-,103.1,3-Hydroxybutyric acid,ECMDB21418,,,,-3.3441145940762613,-1.1224594166511135,0.0018111123717204,4.667987288001549e-05,0.0188573469690846,0.7316381190951088,-2.7420546027482993,-4.3308703353083935,-1.724519407979076,-0.13570367541898126,-0.4637448688849992,Pseudomonas - Fumarate,
197,Butyrate,L-Malate,0.0021824162697057,0.000700393835702,,4.0,87.09718,0.0,Ecoli,Vila-23,,,,,,,,,,,,,,,,,,,,-2.6610624093874944,,0.0087296650788228,0.00019008230267748589,,,-2.059002418059532,-3.7210583155769075,,,-inf,Ecoli - L-Malate,
198,Butyrate,D-Fructose,0.0010504361400588,0.0004116670941687,,4.0,87.09718,0.0,Ecoli,Vila-23,,,,,,,,,,,,,,,,,,,,-2.9786303448411684,,0.0042017445602352,9.149002556920651e-05,,,-2.376570353513206,-4.038626251030582,,,-inf,Ecoli - D-Fructose,
199,Butyrate,D-Galactose,0.0014117748382833,0.0003336961513903,,4.0,87.09718,0.0,Ecoli,Vila-23,,,,,,,,,,,,,,,,,,,,-2.8502345626953978,,0.0056470993531332,0.00012296160720943146,,,-2.2481745713674353,-3.910230468884811,,,-inf,Ecoli - D-Galactose,
200,Butyrate,D-Ribose,0.0031104991392685,0.0013234894864591,,4.0,87.09718,0.0,Ecoli,Vila-23,,,,,,,,,,,,,,,,,,,,-2.507169914498451,,0.012441996557074,0.0002709157034227136,,,-1.9051099231704887,-3.5671658206878645,,,-inf,Ecoli - D-Ribose,
201,Butyrate,L-Arabinose,0.0102844937538418,0.002349009637948,,4.0,87.09718,0.0,Ecoli,Vila-23,,,,,,,,,,,,,,,,,,,,-1.9878170812491909,,0.0411379750153672,0.000895750403687235,,,-1.3857570899212286,-3.047812987438604,,,-inf,Ecoli - L-Arabinose,
202,Butyrate,Glycerol,0.001573284835994,0.000371616572436,,4.0,87.09718,0.0,Ecoli,Vila-23,,,,,,,,,,,,,,,,,,,,-2.8031926432369403,,0.006293139343976,0.0001370286725518399,,,-2.2011326519089778,-3.8631885494263534,,,-inf,Ecoli - Glycerol,
203,Butyrate,Pyruvate,0.0006603423854158,0.0001731139077508,,4.0,87.09718,0.0,Ecoli,Vila-23,,,,,,,,,,,,,,,,,,,,-3.1802308257598337,,0.0026413695416632,5.7513959604189306e-05,,,-2.5781708344318712,-4.240226731949247,,,-inf,Ecoli - Pyruvate,
204,Butyrate,L-Malate,0.0021925460979597,0.0007949663449663,,4.0,87.09718,0.0,Enterobacter,Vila-23,,,,,,,,,,,,,,,,,,,,-2.6590512668882327,,0.0087701843918388,0.0001909645821522936,,,-2.05699127556027,-3.719047173077646,,,-inf,Enterobacter - L-Malate,
205,Butyrate,D-Fructose,0.0006604547511813,0.0004694677379812,,4.0,87.09718,0.0,Enterobacter,Vila-23,,,,,,,,,,,,,,,,,,,,-3.180156931244655,,0.0026418190047252,5.752374634549289e-05,,,-2.5780969399166924,-4.240152837434068,,,-inf,Enterobacter - D-Fructose,
206,Butyrate,Glycerol,0.0026252729810346,0.0005514030245683,,4.0,87.09718,0.0,Enterobacter,Vila-23,,,,,,,,,,,,,,,,,,,,-2.580825531117822,,0.0105010919241384,0.00022865387337830714,,,-1.9787655397898598,-3.6408214373072356,,,-inf,Enterobacter - Glycerol,
207,Butyrate,Pyruvate,0.0006988947076006,0.0001230760904199,,4.0,87.09718,0.0,Enterobacter,Vila-23,,,,,,,,,,,,,,,,,,,,-3.1555882482206354,,0.0027955788304024,6.087175814893682e-05,,,-2.553528256892673,-4.215584154410049,,,-inf,Enterobacter - Pyruvate,
208,Butyrate,Acetate,0.0008117829233048,3.176825651800601e-05,,4.0,87.09718,0.0,Pputida,Vila-23,,,,,,,,,,,,,,,,,,,,-3.0905600887572144,,0.0032471316932192,7.070400339200435e-05,,,-2.488500097429252,-4.150555994946628,,,-inf,Pputida - Acetate,
209,Butyrate,D-Fructose,0.0007607395848591,0.0002164077550625,,4.0,87.09718,0.0,Pputida,Vila-23,,,,,,,,,,,,,,,,,,,,-3.1187639847722064,,0.0030429583394364,6.625827255559832e-05,,,-2.5167039934442443,-4.1787598909616195,,,-inf,Pputida - D-Fructose,
210,Butyrate,Glycerol,0.000911839443533,0.0004777821300927,,4.0,87.09718,0.0,Pputida,Vila-23,,,,,,,,,,,,,,,,,,,,-3.0400816254064584,,0.003647357774132,7.941864414449354e-05,,,-2.438021634078496,-4.100077531595872,,,-inf,Pputida - Glycerol,
211,Butyrate,Pyruvate,0.0004286674197152,4.203780702308813e-05,,4.0,87.09718,0.0,Pputida,Vila-23,,,,,,,,,,,,,,,,,,,,-3.367879523197084,,0.0017146696788608,3.733572341507032e-05,,,-2.7658195318691217,-4.427875429386497,,,-inf,Pputida - Pyruvate,
212,Butyrate,L-Malate,0.0009407738502869,0.0002841447724207,,4.0,87.09718,0.0,Pseudomonas,Vila-23,,,,,,,,,,,,,,,,,,,,-3.0265147627325795,,0.0037630954011476,8.193874937773119e-05,,,-2.4244547714046174,-4.086510668921993,,,-inf,Pseudomonas - L-Malate,
213,Butyrate,Acetate,0.0010234766475336,0.0005796863008461,,4.0,87.09718,0.0,Pseudomonas,Vila-23,,,,,,,,,,,,,,,,,,,,-2.989922062100643,,0.0040939065901344,8.914192979603051e-05,,,-2.3878620707726803,-4.049917968290056,,,-inf,Pseudomonas - Acetate,
214,Butyrate,D-Fructose,0.0003343020255414,0.0001397077389296,,4.0,87.09718,0.0,Pseudomonas,Vila-23,,,,,,,,,,,,,,,,,,,,-3.475860992002143,,0.0013372081021656,2.9116763692943916e-05,,,-2.8738010006741805,-4.535856898191557,,,-inf,Pseudomonas - D-Fructose,
215,Butyrate,Glycerol,0.0003436563091636,0.0001259412261515,,4.0,87.09718,0.0,Pseudomonas,Vila-23,,,,,,,,,,,,,,,,,,,,-3.463875678497873,,0.0013746252366544,2.9931495417357717e-05,,,-2.8618156871699103,-4.523871584687286,,,-inf,Pseudomonas - Glycerol,
216,Butyrate,Pyruvate,0.0001595484873138,0.0001203980842405,,4.0,87.09718,0.0,Pseudomonas,Vila-23,,,,,,,,,,,,,,,,,,,,-3.797107309015966,,0.0006381939492552,1.3896223318297753e-05,,,-3.1950473176880037,-4.857103215205379,,,-inf,Pseudomonas - Pyruvate,
217,Butyrate,Succinate,0.0036013059252244,9.397617222214689e-05,,4.0,87.09718,0.0,Pseudomonas,Vila-23,,,,,,,,,,,,,,,,,,,,-2.443539984434469,,0.0144052237008976,0.0003136635904043361,,,-1.8414799931065065,-3.503535890623882,,,-inf,Pseudomonas - Succinate,
218,Butyrate,Fumarate,0.0079767370284763,0.0005876300914036,,4.0,87.09718,0.0,Pseudomonas,Vila-23,,,,,,,,,,,,,,,,,,,,-2.0981747252314795,,0.0319069481139052,0.0006947513007818654,,,-1.496114733903517,-3.1581706314208926,,,-inf,Pseudomonas - Fumarate,
219,Cdp-ethanolamine,Galactose,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - Galactose,
220,Cdp-ethanolamine,L-malate,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - L-malate,
221,Cdp-ethanolamine,L-alanine,,,,,,,E. coli,SINTEF-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coli - L-alanine,
222,Cis-aconitate,Galactose,0.0001023582400319,5.8127661641750005e-06,0.0639602902836933,6.0,171.08442,2.5092471618821026,E. coli,SINTEF-23,acon_C,-3.0,0.0,Carboxylic acid,,3.0,6.0,4.0,112.0,0.0,-1.0,643757.0,C6H6O6,174.11,cis-Aconitic acid,ECMDB00072,,,21.35,-3.989877190067045,-1.1940895738763955,0.0006141494401914,1.7511900128078393e-05,0.01066004838061555,0.37385222034650084,-3.2117259396834013,-4.756666728253061,-1.972240824260039,-0.42730003569037983,0.399543441607473,E. coli - Galactose,2.135e-05
223,Cis-aconitate,L-malate,0.0004389141665854,3.5824051606598675e-05,0.0140396202099823,6.0,171.08442,8.433854926192879,E. coli,SINTEF-23,acon_C,-3.0,0.0,Carboxylic acid,,3.0,6.0,4.0,112.0,0.0,-1.0,643757.0,C6H6O6,174.11,cis-Aconitic acid,ECMDB00072,,,21.35,-3.3576204014503657,-1.8526446402788546,0.0026334849995124,7.509137562004653e-05,0.0023399367016637166,0.08206252918870287,-2.5794691510667223,-4.124409939636381,-2.630795890662498,-1.0858551020928389,0.9260261262857,E. coli - L-malate,2.135e-05
224,Cis-aconitate,L-alanine,0.0009137946959113,8.546694149480005e-05,0.0518727682298436,6.0,171.08442,3.471457593234707,E. coli,SINTEF-23,acon_C,-3.0,0.0,Carboxylic acid,,3.0,6.0,4.0,112.0,0.0,-1.0,643757.0,C6H6O6,174.11,cis-Aconitic acid,ECMDB00072,,,21.35,-3.0391513671198185,-1.2850605749316846,0.005482768175467801,0.00015633603554906115,0.0086454613716406,0.3031998368398689,-2.2610001167361746,-3.805940905305834,-2.0632118253153284,-0.518271036745669,0.5405118643537269,E. coli - L-alanine,2.135e-05
225,Cis-aconitate,Glucose,0.0006318435324293,5.215580232814383e-05,0.0413683700113853,6.0,171.08442,6.022707403576503,E. coli,Paczia-12,acon_C,-3.0,0.0,Carboxylic acid,,3.0,6.0,4.0,112.0,0.0,-1.0,643757.0,C6H6O6,174.11,cis-Aconitic acid,ECMDB00072,,,8.049999999999999,-3.199390455603188,-1.3833315907556099,0.0037910611945758,0.00010809858427641797,0.006894728335230883,0.24180091916835733,-2.421239205219544,-3.9661799937892033,-2.1614828411392537,-0.6165420525695943,0.7797917646982505,E. coli - Glucose,8.05e-06
226,Cis-aconitate,Glucose,0.0004687284178304,1.1889877652165731e-05,0.0566970965300783,6.0,171.08442,1.99656662800035,B. licheniformis,Paczia-12,acon_C,-3.0,0.0,Carboxylic acid,,3.0,6.0,4.0,112.0,0.0,-1.0,643757.0,C6H6O6,174.11,cis-Aconitic acid,ECMDB00072,,,,-3.3290787154945125,-1.246439180846985,0.0028123705069824003,8.019212950203164e-05,0.009449516088346384,0.33139836187350263,-2.550927465110869,-4.095868253680528,-2.0245904312306284,-0.47964964266096927,0.3002838077385047,B. licheniformis - Glucose,
227,Citrate,Galactose,,,0.0638643477165634,6.0,189.0997,2.5092471618821026,E. coli,SINTEF-23,cit,-3.0,0.0,Carboxylic acid,,1.0,7.0,2.0,141.0,-3.0,0.2,31348.0,C6H5O7-3,189.1,Citric acid,ECMDB00094,citrate,Cit,5333.833333333334,,-1.1947415191658282,,,0.010644057952760565,0.3377284454526548,,,-1.9728927695494718,-0.4714323590185468,0.399543441607473,E. coli - Galactose,0.005333833333333334
228,Citrate,L-malate,,,0.0131536307120483,6.0,189.0997,8.433854926192879,E. coli,SINTEF-23,cit,-3.0,0.0,Carboxylic acid,,1.0,7.0,2.0,141.0,-3.0,0.2,31348.0,C6H5O7-3,189.1,Citric acid,ECMDB00094,citrate,Cit,5333.833333333334,,-1.880954355115577,,,0.0021922717853413835,0.06955923627614585,,,-2.6591056054992204,-1.1576451949682958,0.9260261262857,E. coli - L-malate,0.005333833333333334
229,Citrate,L-alanine,-0.0018524358357555,0.0032462317052894,0.0513766230364587,6.0,189.0997,3.471457593234707,E. coli,SINTEF-23,cit,-3.0,0.0,Carboxylic acid,,1.0,7.0,2.0,141.0,-3.0,0.2,31348.0,C6H5O7-3,189.1,Citric acid,ECMDB00094,citrate,Cit,5333.833333333334,,-1.2892344451228044,-0.011114615014533,-0.00035029506081061434,0.00856277050607645,0.27169066390088775,,,-2.067385695506448,-0.5659252849755229,0.5405118643537269,E. coli - L-alanine,0.005333833333333334
230,Citrate,Glucose,0.0063218848988221,0.0004632948145419,0.0408491991048198,6.0,189.0997,6.022707403576503,E. coli,Paczia-12,cit,-3.0,0.0,Carboxylic acid,,1.0,7.0,2.0,141.0,-3.0,0.2,31348.0,C6H5O7-3,189.1,Citric acid,ECMDB00094,citrate,Cit,816.388888888889,-2.1991534155292576,-1.3888164538871854,0.0379313093929326,0.0011954665378017895,0.0068081998508033,0.21601937551894476,-1.421002165145614,-2.9224625756765388,-2.1669677042708293,-0.6655072937399041,0.7797917646982505,E. coli - Glucose,0.000816388888888889
231,Citrate,Glucose,0.0042384179054784,0.0001008187646786,0.0566938740981404,6.0,189.0997,2.0234312851452043,B. licheniformis,Paczia-12,cit,-3.0,0.0,Carboxylic acid,,1.0,7.0,2.0,141.0,-3.0,0.2,31348.0,C6H5O7-3,189.1,Citric acid,ECMDB00094,citrate,Cit,,-2.372796224337039,-1.246463865077159,0.0254305074328704,0.0008014835544005939,0.009448979016356733,0.29980943437848073,-1.5946449739533952,-3.09610538448432,-2.0246151154608025,-0.5231547049298776,0.3060884605244841,B. licheniformis - Glucose,
232,Citrate,Glucose,0.0006104505454393,0.0001490807629093,0.0106096925997112,6.0,189.0997,0.1193862022016583,S. cerevisiae,Paczia-12,cit,-3.0,0.0,Carboxylic acid,,1.0,7.0,2.0,141.0,-3.0,0.2,31348.0,C6H5O7-3,189.1,Citric acid,ECMDB00094,citrate,Cit,,-3.2143495138858276,-1.9742971989622935,0.0036627032726358,0.00011543601500740799,0.0017682820999518666,0.05610634284301455,-2.436198263502184,-3.937658674033109,-2.752448449345937,-1.250988038815012,-0.9230458629381638,S. cerevisiae - Glucose,
233,Citrate,D-Glucose,0.0026352880221649,0.0001462389936932,0.0766941510131624,6.0,189.0997,1.4135814033145528,Ecoli,Vila-23,cit,-3.0,0.0,Carboxylic acid,,1.0,7.0,2.0,141.0,-3.0,0.2,31348.0,C6H5O7-3,189.1,Citric acid,ECMDB00094,citrate,Cit,816.388888888889,-2.5791719119121517,-1.1152377557324769,0.0158117281329894,0.000498332174404976,0.012782358502193733,0.40557521251045026,-1.8010206615285078,-3.302481072059433,-1.8933890061161205,-0.39192859558519555,0.15032082307836467,Ecoli - D-Glucose,0.000816388888888889
234,Citrate,L-Malate,0.0074883886592636,0.0010171083830672,0.0732159589095088,6.0,189.0997,1.2733028988455688,Ecoli,Vila-23,cit,-3.0,0.0,Carboxylic acid,,1.0,7.0,2.0,141.0,-3.0,0.2,31348.0,C6H5O7-3,189.1,Citric acid,ECMDB00094,citrate,Cit,5333.833333333334,-2.125611623111679,-1.1353942452951569,0.0449303319555816,0.0014160520489501492,0.012202659818251466,0.38718178246453483,-1.347460372728035,-2.84892078325896,-1.9135454956788005,-0.4120850851478755,0.10493172780875534,Ecoli - L-Malate,0.005333833333333334
235,Citrate,D-Fructose,0.006709441208518,0.0009146978047753,0.0767317174317411,6.0,189.0997,1.3075036974974723,Ecoli,Vila-23,cit,-3.0,0.0,Carboxylic acid,,1.0,7.0,2.0,141.0,-3.0,0.2,31348.0,C6H5O7-3,189.1,Citric acid,ECMDB00094,citrate,Cit,5333.833333333334,-2.1733136482606072,-1.115025081184371,0.040256647251108,0.0012687533196983913,0.012788619571956851,0.4057738718344931,-1.3951623978769638,-2.896622808407889,-1.8931763315680146,-0.3917159210370897,0.11644292568499333,Ecoli - D-Fructose,0.005333833333333334
236,Citrate,D-Galactose,0.0022544361132887,7.094422948130611e-05,0.0767317174318216,6.0,189.0997,0.978458925307269,Ecoli,Vila-23,cit,-3.0,0.0,Carboxylic acid,,1.0,7.0,2.0,141.0,-3.0,0.2,31348.0,C6H5O7-3,189.1,Citric acid,ECMDB00094,citrate,Cit,5333.833333333334,-2.6469620673165197,-1.1150250811839155,0.0135266166797322,0.0004263131926920592,0.012788619571970266,0.40577387183491875,-1.8688108169328763,-3.3702712274638014,-1.8931763315675592,-0.3917159210366341,-0.009457400856071864,Ecoli - D-Galactose,0.005333833333333334
237,Citrate,D-Ribose,0.0060043821815769,0.0003749438705669,0.07673171743173,6.0,189.0997,1.3407821743677804,Ecoli,Vila-23,cit,-3.0,0.0,Carboxylic acid,,1.0,7.0,2.0,141.0,-3.0,0.2,31348.0,C6H5O7-3,189.1,Citric acid,ECMDB00094,citrate,Cit,5333.833333333334,-2.2215316725134624,-1.1150250811844338,0.0360262930894614,0.0011354268692215376,0.012788619571955,0.4057738718344344,-1.4433804221298185,-2.9448408326607436,-1.8931763315680774,-0.39171592103715247,0.12735822740107963,Ecoli - D-Ribose,0.005333833333333334
238,Citrate,L-Arabinose,0.0040553412559904,4.220982771110907e-05,0.0767317174316939,6.0,189.0997,1.404941021503744,Ecoli,Vila-23,cit,-3.0,0.0,Carboxylic acid,,1.0,7.0,2.0,141.0,-3.0,0.2,31348.0,C6H5O7-3,189.1,Citric acid,ECMDB00094,citrate,Cit,5333.833333333334,-2.3919725941389807,-1.1150250811846383,0.024332047535942404,0.000766863814905408,0.012788619571948982,0.40577387183424346,-1.6138213437553368,-3.115281754286262,-1.893176331568282,-0.39171592103735686,0.14765809322821785,Ecoli - L-Arabinose,0.005333833333333334
239,Citrate,Glycerol,0.0038512578530306,0.0008631652386723,0.0768315539338176,6.0,189.0997,0.8079157965917361,Ecoli,Vila-23,cit,-3.0,0.0,Carboxylic acid,,1.0,7.0,2.0,141.0,-3.0,0.2,31348.0,C6H5O7-3,189.1,Citric acid,ECMDB00094,citrate,Cit,2320.0,-2.4143974031120354,-1.1144603830287823,0.0231075471181836,0.0007282717046307307,0.0128052589889696,0.40630182879093724,-1.6362461527283918,-3.1377065632593166,-1.8926116334124259,-0.3911512228815009,-0.09263390034072282,Ecoli - Glycerol,0.00232
240,Citrate,Pyruvate,0.0025981824978742,0.0003357389776492,0.0764072296001838,6.0,189.0997,2.872974073802115,Ecoli,Vila-23,cit,-3.0,0.0,Carboxylic acid,,1.0,7.0,2.0,141.0,-3.0,0.2,31348.0,C6H5O7-3,189.1,Citric acid,ECMDB00094,citrate,Cit,5333.833333333334,-2.585330347090512,-1.116865546831119,0.0155890949872452,0.0004913155308932618,0.0127345382666973,0.4040579101933202,-1.8071790967068682,-3.308639507237793,-1.8950167972147627,-0.3935563866838377,0.45833170686369046,Ecoli - Pyruvate,0.005333833333333334
241,Citrate,D-Glucose,0.0076649133081331,0.0003211887796102,0.076479642336813,6.0,189.0997,2.5926346484402925,Enterobacter,Vila-23,cit,-3.0,0.0,Carboxylic acid,,1.0,7.0,2.0,141.0,-3.0,0.2,31348.0,C6H5O7-3,189.1,Citric acid,ECMDB00094,citrate,Cit,,-2.115492752748593,-1.116454151740216,0.0459894798487986,0.001449432807093977,0.012746607056135499,0.40444084436312167,-1.337341502364949,-2.838801912895874,-1.8946054021238596,-0.3931449915929347,0.4137413207239857,Enterobacter - D-Glucose,
242,Citrate,L-Malate,-0.001290796228872,0.0005332028966908,0.0730677516293465,6.0,189.0997,2.6905468400067876,Enterobacter,Vila-23,cit,-3.0,0.0,Carboxylic acid,,1.0,7.0,2.0,141.0,-3.0,0.2,31348.0,C6H5O7-3,189.1,Citric acid,ECMDB00094,citrate,Cit,,,-1.1362742561417296,-0.007744777373232,-0.00024408917964082656,0.012177958604891084,0.38639803040061144,,,-1.9144255065253732,-0.41296509599444825,0.42984055712564895,Enterobacter - L-Malate,
243,Citrate,D-Fructose,0.0066040522286368,4.159116566280603e-05,0.0622155017491188,6.0,189.0997,3.6183413133540414,Enterobacter,Vila-23,cit,-3.0,0.0,Carboxylic acid,,1.0,7.0,2.0,141.0,-3.0,0.2,31348.0,C6H5O7-3,189.1,Citric acid,ECMDB00094,citrate,Cit,,-2.1801895007455454,-1.20610139207265,0.0396243133718208,0.0012488242952195504,0.0103692502915198,0.32900899234170544,-1.4020382503619018,-2.9034986608928266,-1.9842526424562936,-0.4827922319253686,0.5585095308805794,Enterobacter - D-Fructose,
244,Citrate,Glycerol,0.0028938483165402,0.0004136675381558,0.0406340356677525,6.0,189.0997,4.0588980608310035,Enterobacter,Vila-23,cit,-3.0,0.0,Carboxylic acid,,1.0,7.0,2.0,141.0,-3.0,0.2,31348.0,C6H5O7-3,189.1,Citric acid,ECMDB00094,citrate,Cit,,-2.5385242365259,-1.391110042522282,0.0173630898992412,0.0005472258485032568,0.006772339277958749,0.2148815448557163,-1.7603729861422566,-3.2618333966731816,-2.169261292905926,-0.6678008823750007,0.6084081441543091,Enterobacter - Glycerol,
