,iML1515 metabolite ID,Metabolite name,Membrane,Direction,Transport type,iML1515 transport reaction ID,Genes
281,malt,Maltose C12H22O11,outer,Import,Diffusion,MALTtexi,b4036
282,cit,Citrate,outer,Import and Export,Diffusion,CITtex,"b1377, b0929, b2215, b0241"
283,cit,Citrate,inner,Import,succ antiporter,CITt7pp,b0612
284,cit,Citrate,inner,Export,Proton antiport,CITt3pp,
285,crn,L-Carnitine,outer,Import and Export,Diffusion,CRNtex,"b1377, b0929, b2215, b0241"
286,crn,L-Carnitine,inner,Import,ATP-binding cassette transporter,CRNabcpp,"b2677, b2679, b2678"
287,crn,L-Carnitine,inner,Import,crn__D antiporter,CRNt8pp,b0040
288,crn,L-Carnitine,inner,Import,gbbtn antiporter,CRNt7pp,b0040
289,crn,L-Carnitine,inner,Import and Export,Proton symport,CRNt2rpp,b4111
290,chol,Choline C5H14NO,inner,Import,ATP-binding cassette transporter,CHLabcpp,"b2131, b2128, b2129, b2130"
291,chol,Choline C5H14NO,outer,Import and Export,Diffusion,CHLtex,"b1377, b0929, b2215, b0241"
292,chol,Choline C5H14NO,inner,Export,Proton antiport,CHLt3pp,b0543
293,chol,Choline C5H14NO,inner,Import,Proton symport,CHLt2pp,"b1801, b0314"
294,dgsn,Deoxyguanosine,inner,Import,Proton symport,DGSNt2pp,b2964
295,dgsn,Deoxyguanosine,outer,Import and Export,Diffusion,DGSNtex,"b1377, b0929, b2215, b0241"
296,din,Deoxyinosine,inner,Import,Proton symport,DINSt2pp,b2964
297,din,Deoxyinosine,outer,Import and Export,Diffusion,DINStex,"b1377, b0929, b2215, b0241"
298,duri,Deoxyuridine,outer,Import and Export,Diffusion,DURItex,b0411
299,duri,Deoxyuridine,inner,Import,Proton symport,DURIt2pp,"b2964, b2393"
300,fe2,Fe2+ mitochondria,inner,Import,Diffusion,FE2tpp,b3040
301,fe2,Fe2+ mitochondria,inner,Import,Proton symport,FE2t2pp,b2392
302,fe2,Fe2+ mitochondria,inner,Export,Proton antiport,FE2t3pp,b3915
303,fe2,Fe2+ mitochondria,inner,Import,ATP-binding cassette transporter,FE2abcpp,b3409
304,fe2,Fe2+ mitochondria,outer,Import and Export,Diffusion,FE2tex,"b1377, b0929, b2215, b0241"
305,fru,D-Fructose,inner,Import,PEP group translocation,FRUptspp,"b2169, b2415, b2416, b2167"
306,fru,D-Fructose,outer,Import and Export,Diffusion,FRUtex,"b1377, b0929, b2215, b0241"
307,fru,D-Fructose,inner,Import,PEP group translocation,FRUpts2pp,"b2415, b1819, b1818, b1817, b2416"
308,fuc__L,L-Fucose,outer,Import and Export,Diffusion,FUCtex,"b1377, b0929, b2215, b0241"
309,fuc__L,L-Fucose,inner,Import and Export,Proton symport,FUCtpp,b2801
310,4abut,4-Aminobutanoate,outer,Import and Export,Diffusion,ABUTtex,"b1377, b0929, b2215, b0241"
311,4abut,4-Aminobutanoate,inner,Import,Proton symport,ABUTt2pp,b2663
312,4abut,4-Aminobutanoate,inner,Import and Export,glu__L antiporter,GLUABUTt7pp,b1492
313,phe__L,L-Phenylalanine,inner,Import and Export,Proton symport,PHEt2rpp,"b0112, b0576"
314,phe__L,L-Phenylalanine,inner,Export,Diffusion,PHEtipp,b1473
315,phe__L,L-Phenylalanine,outer,Import and Export,Diffusion,PHEtex,"b1377, b0929, b2215, b0241"
316,csn,Cytosine,outer,Import and Export,Diffusion,CSNtex,"b1377, b0929, b2215, b0241"
317,csn,Cytosine,inner,Import,Proton symport,CSNt2pp,b0336
318,cynt,Cyanate,inner,Import,Proton symport,CYNTt2pp,b0341
319,cynt,Cyanate,outer,Import and Export,Diffusion,CYNTtex,"b1377, b0929, b2215, b0241"
320,cys__L,L-Cysteine,outer,Import and Export,Diffusion,CYStex,"b1377, b0929, b2215, b0241"
321,cys__L,L-Cysteine,inner,Import,ATP-binding cassette transporter,CYSabcpp,"b1920, b1918, b1917"
322,cys__L,L-Cysteine,inner,Export,ATP-binding cassette transporter,CYSabc2pp,"b0886, b0887"
323,cys__L,L-Cysteine,inner,Export,Diffusion,CYStpp,"b1533, b2578"
324,sbt__D,D-Sorbitol,inner,Import,PEP group translocation,SBTptspp,"b2702, b2415, b2416, b2704, b2703"
325,sbt__D,D-Sorbitol,outer,Import and Export,Diffusion,SBTtex,"b1377, b0929, b2215, b0241"
326,pi,Phosphate,outer,Import and Export,Diffusion,PItex,"b1377, b0929, b2215, b0241"
327,pi,Phosphate,inner,Import,ATP-binding cassette transporter,PIuabcpp,"b3728, b3725, b3727, b3726"
328,pi,Phosphate,inner,Export,f6p antiporter,F6Pt6_2pp,b3666
329,pi,Phosphate,inner,Export,g6p antiporter,G6Pt6_2pp,b3666
330,pi,Phosphate,inner,Export,gam6p antiporter,GAM6Pt6_2pp,b3666
331,pi,Phosphate,inner,Export,glyc3p antiporter,GLYC3Pt6pp,b2240
332,pi,Phosphate,inner,Export,Diffusion,PItpp,b4020
333,pi,Phosphate,inner,Import,Proton symport,PIt2rpp,"b3493, b2987"
334,pi,Phosphate,inner,Export,man6p antiporter,MAN6Pt6_2pp,b3666
335,cytd,Cytidine,inner,Import,Proton symport,CYTDt2pp_copy1,"b2964, b2393"
336,cytd,Cytidine,inner,Import and Export,Proton symport,CYTDt2pp_copy2,b2406
337,cytd,Cytidine,outer,Import and Export,Diffusion,CYTDtex,"b1377, b0929, b2215, b0241"
338,dad_2,Deoxyadenosine,outer,Import and Export,Diffusion,DADNtex,b0411
339,dad_2,Deoxyadenosine,inner,Import,Proton symport,DADNt2pp,"b2964, b2393"
340,dcyt,Deoxycytidine,inner,Import,Proton symport,DCYTt2pp,"b2964, b2393"
341,dcyt,Deoxycytidine,outer,Import and Export,Diffusion,DCYTtex,b0411
342,rmn,L-Rhamnose,outer,Import and Export,Diffusion,RMNtex,"b1377, b0929, b2215, b0241"
343,rmn,L-Rhamnose,inner,Import,Proton symport,RMNtpp,b3907
344,malttr,Maltotriose C18H32O16,inner,Import,ATP-binding cassette transporter,MALTTRabcpp,"b4032, b4035, b4033, b4034"
345,malttr,Maltotriose C18H32O16,outer,Import,Diffusion,MALTTRtexi,b4036
346,maltttr,Maltotetraose,inner,Import,ATP-binding cassette transporter,MALTTTRabcpp,"b4032, b4035, b4033, b4034"
347,maltttr,Maltotetraose,outer,Import,Diffusion,MALTTTRtexi,b4036
348,maltpt,Maltopentaose,inner,Import,ATP-binding cassette transporter,MALTPTabcpp,"b4032, b4035, b4033, b4034"
349,maltpt,Maltopentaose,outer,Import,Diffusion,MALTPTtexi,b4036
350,lcts,Lactose C12H22O11,inner,Import,Proton symport,LCTStpp,b0343
351,lcts,Lactose C12H22O11,outer,Import and Export,Diffusion,LCTStex,"b1377, b0929, b2215, b0241"
352,lcts,Lactose C12H22O11,inner,Export,Proton antiport,LCTSt3ipp,"b2170, b0070, b1528"
353,leu__L,L-Leucine,inner,Export,Proton antiport,LEUt3pp,"b1798, b4141"
354,leu__L,L-Leucine,inner,Import,ATP-binding cassette transporter,LEUabcpp,"b3455, b3457, b3458, b3460, b3454, b3456"
355,leu__L,L-Leucine,inner,Import,Proton symport,LEUt2rpp,b0401
356,leu__L,L-Leucine,outer,Import and Export,Diffusion,LEUtex,"b1377, b0929, b2215, b0241"
357,lys__L,L-Lysine,inner,Import,Proton symport,CADVtpp,b4132
358,lys__L,L-Lysine,outer,Import and Export,Diffusion,LYStex,"b1377, b0929, b2215, b0241"
359,lys__L,L-Lysine,inner,Import,Proton symport,LYSt2pp,b2156
360,lys__L,L-Lysine,inner,Export,Proton antiport,LYSt3pp,"b0874, b2923"
361,lys__L,L-Lysine,inner,Import,ATP-binding cassette transporter,LYSabcpp,"b2310, b2308, b2306, b2307"
362,lyx__L,L-Lyxose,inner,Import,Proton symport,LYXt2pp,b3907
363,lyx__L,L-Lyxose,outer,Import and Export,Diffusion,LYXtex,"b1377, b0929, b2215, b0241"
364,man,D-Mannose,inner,Import,PEP group translocation,MANptspp,"b2415, b1819, b1818, b1817, b2416"
365,man,D-Mannose,outer,Import and Export,Diffusion,MANtex,"b1377, b0929, b2215, b0241"
366,man6p,D-Mannose 6-phosphate,outer,Import and Export,Diffusion,MAN6Ptex,"b1377, b0929, b2215, b0241"
367,man6p,D-Mannose 6-phosphate,inner,Import,pi antiporter,MAN6Pt6_2pp,b3666
368,butso3,Butanesulfonate,outer,Import and Export,Diffusion,BUTSO3tex,"b1377, b0929, b2215, b0241"
369,butso3,Butanesulfonate,inner,Import,ATP-binding cassette transporter,BUTSO3abcpp,"b0367, b0365, b0936, b0933, b0366, b0934"
370,ethso3,Ethanesulfonate,outer,Import and Export,Diffusion,ETHSO3tex,"b1377, b0929, b2215, b0241"
371,ethso3,Ethanesulfonate,inner,Import,ATP-binding cassette transporter,ETHSO3abcpp,"b0936, b0933, b0934"
372,melib,Melibiose C12H22O11,inner,Import,Proton symport,MELIBt2pp,"b4120, b0343"
373,melib,Melibiose C12H22O11,outer,Import and Export,Diffusion,MELIBtex,"b1377, b0929, b2215, b0241"
374,melib,Melibiose C12H22O11,inner,Export,Proton antiport,MELIBt3ipp,b1528
375,feoxam_un,Ferroxamine minus Fe(3),inner,Export,Proton antiport,FEOXAMUtpp,
376,feoxam_un,Ferroxamine minus Fe(3),outer,Export,Proton symport,FEOXAMUtex,
377,arbtn,Aerobactin minus Fe3,inner,Export,Proton antiport,ARBTNtpp,
378,arbtn,Aerobactin minus Fe3,outer,Export,Proton symport,ARBTNtex,
379,but,Butyrate (n-C4:0),outer,Import and Export,Diffusion,BUTtex,"b1377, b0929, b2215, b0241"
380,but,Butyrate (n-C4:0),inner,Import and Export,Proton symport,BUTt2rpp,b2223
381,23camp,"2',3'-Cyclic AMP",outer,Import and Export,Diffusion,23CAMPtex,"b1377, b0929, b2215, b0241"
382,23ccmp,"2',3'-Cyclic CMP",outer,Import and Export,Diffusion,23CCMPtex,"b1377, b0929, b2215, b0241"
383,23cump,"2',3'-Cyclic UMP",outer,Import and Export,Diffusion,23CUMPtex,"b1377, b0929, b2215, b0241"
384,23cgmp,"2',3'-Cyclic GMP",outer,Import and Export,Diffusion,23CGMPtex,"b1377, b0929, b2215, b0241"
385,3amp,3  AMP C10H12N5O7P,outer,Import and Export,Diffusion,3AMPtex,"b1377, b0929, b2215, b0241"
386,3cmp,3  CMP C9H12N3O8P,outer,Import and Export,Diffusion,3CMPtex,"b1377, b0929, b2215, b0241"
387,gdp,GDP C10H12N5O11P2,outer,Import and Export,Diffusion,GDPtex,"b1377, b0241, b0929, b2215"
388,enter,Enterochelin,outer,Export,Proton symport,FEENTERtex,b3035
389,enter,Enterochelin,inner,Export,Proton antiport,FEENTERtpp,b0591
390,fe3hox_un,"Fe(III)hydoxamate, unloaded",outer,Export,Proton symport,FE3HOXUtpp,
391,fe3hox_un,"Fe(III)hydoxamate, unloaded",inner,Export,Proton antiport,FE3HOXUtex,
392,fecrm_un,Ferrichrome minus Fe(III),inner,Export,Proton antiport,FECRMUtpp,
393,fecrm_un,Ferrichrome minus Fe(III),outer,Export,Proton symport,FECRMUtex,
394,ptrc,Putrescine,inner,Import,Proton symport,PTRCt2pp,"b2014, b1296, b0692"
395,ptrc,Putrescine,inner,Import,ATP-binding cassette transporter,PTRCabcpp,"b0856, b1441, b0857, b0855, b1126, b1443, b1442, b1124, b1123, b0854, b1125, b1440"
396,ptrc,Putrescine,inner,Import and Export,orn antiporter,PTRCORNt7pp,b0692
397,ptrc,Putrescine,outer,Import and Export,Diffusion,PTRCtex,"b1377, b0929, b2215, b0241"
398,pnto__R,(R)-Pantothenate,inner,Import,Sodium symport,PNTOt4pp,b3258
399,pnto__R,(R)-Pantothenate,outer,Import and Export,Diffusion,PNTOtex,"b1377, b0929, b2215, b0241"
400,ura,Uracil,inner,Import,Proton symport,URAt2pp,"b2497, b1006"
401,ura,Uracil,inner,Export,Diffusion,URAtpp,
402,ura,Uracil,outer,Import and Export,Diffusion,URAtex,"b1377, b0929, b2215, b0241"
403,urea,Urea CH4N2O,outer,Import and Export,Diffusion,UREAtex,"b1377, b0929, b2215, b0241"
404,urea,Urea CH4N2O,inner,Import and Export,Diffusion,UREAtpp,b3927
405,sulfac,Sulfoacetate,inner,Import,ATP-binding cassette transporter,SULFACabcpp,"b0936, b0933, b0934"
406,sulfac,Sulfoacetate,outer,Import and Export,Diffusion,SULFACtex,"b1377, b0929, b2215, b0241"
407,lipoate,Lipoate,outer,Import and Export,Diffusion,LIPOtex,"b1377, b0241, b0929, b2215"
408,lipoate,Lipoate,inner,Import,Proton symport,LIPOt2pp,
409,pppn,Phenylpropanoate,outer,Import and Export,Diffusion,PPPNtex,"b1377, b0929, b2215, b0241"
410,pppn,Phenylpropanoate,inner,Import and Export,Proton symport,PPPNt2rpp,b2536
411,for,Formate,inner,Export,Diffusion,FORtppi,"b2492, b0904"
412,for,Formate,outer,Import and Export,Diffusion,FORtex,"b1377, b0929, b2215, b0241"
413,for,Formate,inner,Import,Proton symport,FORt2pp,"b2492, b0904"
414,pheme,Protoheme C34H30FeN4O4,outer,Export,Diffusion,PHEMEtiex,
415,pheme,Protoheme C34H30FeN4O4,inner,Export,ATP-binding cassette transporter,PHEMEabcpp,"b2200, b2198, b2199, b2201, b2197"
416,metsox_S__L,L-Methionine Sulfoxide,outer,Import and Export,Diffusion,METSOX1tex,"b1377, b0929, b2215, b0241"
417,metsox_S__L,L-Methionine Sulfoxide,inner,Import,ATP-binding cassette transporter,METSOX1abcpp,
418,ppt,Phosphonate,outer,Import and Export,Diffusion,PPTtex,"b1377, b0929, b2215, b0241"
419,gal_bD,Beta D-Galactose,outer,Import and Export,Diffusion,GALBDtex,"b1377, b0929, b2215, b0241"
420,lipa,KDO(2)-lipid (A),outer,Export,ATP-binding cassette transporter,LIPAabctex,"b3199, b0641, b0054, b3201, b3200, b4261, b4262"
421,lipa,KDO(2)-lipid (A),inner,Export,ATP-binding cassette transporter,LIPAabcpp,b0914
422,lipa_cold,Cold adapted KDO(2)-lipid (A),outer,Export,ATP-binding cassette transporter,CLIPAabctex,"b3199, b0641, b0054, b3201, b3200, b4261, b4262"
423,lipa_cold,Cold adapted KDO(2)-lipid (A),inner,Export,ATP-binding cassette transporter,LIPACabcpp,b0914
424,cu,Cu+,outer,Import and Export,Diffusion,CUtex,"b1377, b0929, b2215, b0241"
425,cu,Cu+,inner,Export,ATP-binding cassette transporter,CU1abcpp,b0484
426,cu,Cu+,???,Export,h antiporter,CUt3,"b0575, b0574, b0573, b0572"
427,cu,Cu+,inner,Export,Diffusion,CUt2pp,"b2924, b4159, b1330, b0577, b0465, b0808, b3291"
428,hg2,Mercury  charged 2  Hg,inner,Export,Proton antiport,HG2t3pp,b3915
429,hg2,Mercury  charged 2  Hg,outer,Import and Export,Diffusion,HG2tex,"b1377, b0929, b2215, b0241"
430,hg2,Mercury  charged 2  Hg,inner,Export,ATP-binding cassette transporter,HG2abcpp,b3469
431,ser__D,D-Serine,inner,Import,Proton symport,DSERt2pp,b4208
432,ser__D,D-Serine,outer,Import and Export,Diffusion,DSERtex,"b1377, b0929, b2215, b0241"
433,ser__L,L-Serine,outer,Import and Export,Diffusion,SERtex,"b1377, b0929, b2215, b0241"
434,ser__L,L-Serine,inner,Import,Sodium symport,SERt4pp,b3089
435,ser__L,L-Serine,inner,Export,Diffusion,SERtpp,b1533
436,ser__L,L-Serine,inner,Import,Proton symport,SERt2rpp,"b2796, b3116"
437,no,Nitric oxide,inner,Import and Export,Diffusion,NOtpp,
438,no,Nitric oxide,outer,Import and Export,Diffusion,NOtex,"b1377, b0929, b2215, b0241"
439,n2o,Nitrous oxide,inner,Import and Export,Diffusion,N2Otpp,
440,n2o,Nitrous oxide,outer,Import and Export,Diffusion,N2Otex,"b1377, b0929, b2215, b0241"
441,crn__D,D-Carnitine,outer,Import and Export,Diffusion,CRNDtex,"b1377, b0929, b2215, b0241"
442,crn__D,D-Carnitine,inner,Export,crn antiporter,CRNt8pp,b0040
443,crn__D,D-Carnitine,inner,Import and Export,Proton symport,CRNDt2rpp,b4111
444,crn__D,D-Carnitine,inner,Import,ATP-binding cassette transporter,CRNDabcpp,"b2677, b2679, b2678"
445,ctbt,Crotonobetaine,inner,Import and Export,Proton symport,CTBTt2rpp,b4111
446,ctbt,Crotonobetaine,inner,Import,ATP-binding cassette transporter,CTBTabcpp,"b2677, b2679, b2678"
447,pacald,Phenylacetaldehyde,inner,Import and Export,Proton symport,PACALDt2rpp,
448,pacald,Phenylacetaldehyde,outer,Import and Export,Diffusion,PACALDtex,"b1377, b0929, b2215, b0241"
449,peamn,Phenethylamine,outer,Import and Export,Diffusion,PEAMNtex,"b1377, b0929, b2215, b0241"
450,acgal1p,N-Acetyl-D-galactosamine 1-phosphate,outer,Import and Export,Diffusion,ACGAL1Ptex,"b1377, b0929, b2215, b0241"
451,acgal,N-Acetyl-D-galactosamine,outer,Import and Export,Diffusion,ACGALtex,"b1377, b0929, b2215, b0241"
452,glcur1p,D-Glucuronate 1-phosphate,outer,Import and Export,Diffusion,GLCUR1Ptex,"b1377, b0929, b2215, b0241"
453,udpglcur,UDP-D-glucuronate,outer,Import and Export,Diffusion,UDPGLCURtex,"b1377, b0929, b2215, b0241"
454,isetac,Isethionic acid,outer,Import and Export,Diffusion,ISETACtex,"b1377, b0929, b2215, b0241"
455,isetac,Isethionic acid,inner,Import,ATP-binding cassette transporter,ISETACabcpp,"b0367, b0365, b0936, b0933, b0366, b0934"
456,udpg,UDPglucose,outer,Import and Export,Diffusion,UDPGtex,"b1377, b0929, b2215, b0241"
457,udpgal,UDPgalactose,outer,Import and Export,Diffusion,UDPGALtex,"b1377, b0241, b0929, b2215"
458,acgam1p,N-Acetyl-D-glucosamine 1-phosphate,outer,Import and Export,Diffusion,ACGAM1Ptex,"b1377, b0929, b2215, b0241"
459,uacgam,UDP-N-acetyl-D-glucosamine,outer,Import and Export,Diffusion,UACGAMtex,"b1377, b0929, b2215, b0241"
460,udpacgal,UDP-N-acetyl-D-galactosamine,outer,Import and Export,Diffusion,UDPACGALtex,"b1377, b0929, b2215, b0241"
461,nh4,Ammonium,inner,Import and Export,Diffusion,NH4tpp,b0451
462,nh4,Ammonium,outer,Import and Export,Diffusion,NH4tex,"b1377, b0929, b2215, b0241"
463,cyan,Hydrogen cyanide,outer,Import and Export,Diffusion,CYANtex,"b1377, b0929, b2215, b0241"
464,so3,Sulfite,outer,Import and Export,Diffusion,SO3tex,"b1377, b0929, b2215, b0241"
465,tcynt,Thiocyanate,outer,Import and Export,Diffusion,TCYNTtex,"b1377, b0929, b2215, b0241"
466,metsox_R__L,L-methionine-R-sulfoxide,inner,Import,ATP-binding cassette transporter,METSOX2abcpp,
467,metsox_R__L,L-methionine-R-sulfoxide,outer,Import and Export,Diffusion,METSOX2tex,"b1377, b0929, b2215, b0241"
468,3ump,3  UMP C9H11N2O9P,outer,Import and Export,Diffusion,3UMPtex,"b1377, b0929, b2215, b0241"
469,mso3,Methanesulfonate,inner,Import,ATP-binding cassette transporter,MSO3abcpp,"b0936, b0933, b0934"
470,mso3,Methanesulfonate,outer,Import and Export,Diffusion,MSO3tex,"b1377, b0929, b2215, b0241"
471,LalaDgluMdap,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate",outer,Import and Export,Diffusion,3PEPTtex,"b1377, b0929, b2215, b0241"
472,LalaDgluMdap,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate",inner,Import,ATP-binding cassette transporter,3PEPTabcpp,"b1244, b1329, b1247, b2180, b1245, b2179, b2177, b1246, b1243, b2178"
473,LalaDgluMdapDala,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine",outer,Import and Export,Diffusion,4PEPTtex,"b1377, b0929, b2215, b0241"
474,LalaDgluMdapDala,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine",inner,Import,ATP-binding cassette transporter,4PEPTabcpp,"b1244, b1247, b2180, b1245, b2179, b2177, b1246, b1243, b2178"
475,3gmp,Guanosine 3  phosphate C10H12N5O8P,outer,Import and Export,Diffusion,3GMPtex,"b1377, b0929, b2215, b0241"
476,fald,Formaldehyde,outer,Import and Export,Diffusion,FALDtex,"b1377, b0929, b2215, b0241"
477,fald,Formaldehyde,inner,Import and Export,Diffusion,FALDtpp,
478,anhgm3p,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide,inner,Import,Proton symport,AGM3Pt2pp,b0433
479,anhgm4p,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide,inner,Import,Proton symport,AGM4Pt2pp,b0433
480,anhgm,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid,outer,Import and Export,Diffusion,ANHGMtex,"b1377, b0929, b2215, b0241"
481,anhgm,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid,inner,Import,Proton symport,AGMt2pp,b0433
482,dopa,Dopamine,outer,Import and Export,Diffusion,DOPAtex,"b1377, b0929, b2215, b0241"
483,4hoxpacd,4-Hydroxyphenylacetaldehyde,outer,Import and Export,Diffusion,4HOXPACDtex,"b1377, b0929, b2215, b0241"
484,spmd,Spermidine,inner,Import,ATP-binding cassette transporter,SPMDabcpp,"b1441, b1126, b1443, b1442, b1124, b1123, b1125, b1440"
485,spmd,Spermidine,inner,Export,Proton antiport,SPMDt3pp,"b1600, b1599"
486,spmd,Spermidine,outer,Import and Export,Diffusion,SPMDtex,"b1377, b0929, b2215, b0241"
487,etha,Ethanolamine,outer,Import and Export,Diffusion,ETHAtex,"b1377, b0929, b2215, b0241"
488,etha,Ethanolamine,inner,Import,Proton symport,ETHAt2pp,
489,g3ps,Glycerophosphoserine,inner,Import,ATP-binding cassette transporter,G3PSabcpp,"b3452, b3450, b3451, b3453"
490,g3ps,Glycerophosphoserine,outer,Import and Export,Diffusion,G3PStex,"b1377, b0929, b2215, b0241"
491,ag,Silver,???,Export,h antiporter,AGt3,"b0575, b0574, b0573, b0572"
492,cd2,Cadmium,outer,Import and Export,Diffusion,CD2tex,"b1377, b0929, b2215, b0241"
493,cd2,Cadmium,inner,Export,ATP-binding cassette transporter,CD2abcpp,b3469
494,cd2,Cadmium,inner,Import,Diffusion,CD2tpp,b3040
495,cd2,Cadmium,inner,Export,Proton antiport,CD2t3pp,"b0752, b3915"
496,zn2,Zinc,inner,Import,Diffusion,ZN2tpp,b3040
497,zn2,Zinc,outer,Import and Export,Diffusion,Zn2tex,"b1377, b0929, b2215, b0241"
498,zn2,Zinc,inner,Import,ATP-binding cassette transporter,ZNabcpp,"b1857, b1859, b1858"
499,zn2,Zinc,inner,Export,ATP-binding cassette transporter,ZN2abcpp,b3469
500,zn2,Zinc,inner,Export,Proton antiport,ZN2t3pp,"b0752, b3915"
501,skm,Shikimate,outer,Import and Export,Diffusion,SKMtex,"b1377, b0929, b2215, b0241"
502,skm,Shikimate,inner,Import,Proton symport,SKMt2pp,b1981
503,glyc2p,Glycerol 2-phosphate,inner,Import,ATP-binding cassette transporter,GLYC2Pabcpp,"b3452, b3450, b3451, b3453"
504,glyc2p,Glycerol 2-phosphate,outer,Import and Export,Diffusion,GLYC2Ptex,"b1377, b0929, b2215, b0241"
505,pser__L,O-Phospho-L-serine,outer,Import and Export,Diffusion,PSERtex,"b1377, b0929, b2215, b0241"
506,r5p,Alpha-D-Ribose 5-phosphate,outer,Import and Export,Diffusion,R5Ptex,"b1377, b0929, b2215, b0241"
507,thrp,L-Threonine O-3-phosphate,outer,Import and Export,Diffusion,THRPtex,"b1377, b0929, b2215, b0241"
508,tyrp,Phosphotyrosine,outer,Import and Export,Diffusion,TYRPtex,"b1377, b0929, b2215, b0241"
509,mal__L,L-Malate,outer,Import and Export,Diffusion,MALtex,"b1377, b0929, b2215, b0241"
510,mal__L,L-Malate,inner,Import,Proton antiport,MALt2_3pp,"b4138, b4123"
511,mal__L,L-Malate,inner,Import and Export,succ antiporter,SUCMALtpp,"b4138, b4123, b0621"
512,mal__L,L-Malate,inner,Import,Proton antiport,MALt2_2pp,b3528
513,mal__L,L-Malate,inner,Export,Proton antiport,MALt3pp,
514,cpgn_un,Coprogen unloaded (no Fe(III)),outer,Export,Proton symport,CPGNUtex,
515,cpgn_un,Coprogen unloaded (no Fe(III)),inner,Export,Proton antiport,CPGNUtpp,
516,malthx,Maltohexaose,inner,Import,ATP-binding cassette transporter,MALTHXabcpp,"b4032, b4035, b4033, b4034"
517,malthx,Maltohexaose,outer,Import,Diffusion,MALTHXtexi,b4036
518,manglyc,2(alpha-D-Mannosyl)-D-glycerate,outer,Import and Export,Diffusion,MANGLYCtex,"b1377, b0929, b2215, b0241"
519,manglyc,2(alpha-D-Mannosyl)-D-glycerate,inner,Import,PEP group translocation,MANGLYCptspp,"b0731, b2415, b2416"
520,cbi,Cobinamide,outer,Import,Proton antiport,CBItonex,"b3005, b3006, b3966, b1252"
521,cbi,Cobinamide,inner,Import,ATP-binding cassette transporter,CBIuabcpp,"b1711, b0158, b1709"
522,met__L,L-Methionine,inner,Export,Proton antiport,METt3pp,"b1798, b4141"
523,met__L,L-Methionine,outer,Import and Export,Diffusion,METtex,"b1377, b0929, b2215, b0241"
524,met__L,L-Methionine,inner,Import,ATP-binding cassette transporter,METabcpp,"b0197, b0198, b0199"
525,ddca,Dodecanoate (n-C12:0),outer,Import,Diffusion,DDCAtexi,b2344
526,ddca,Dodecanoate (n-C12:0),inner,Import,ATP-binding cassette transporter,FACOAL120t2pp,"b1701, b1805"
527,ttdca,Tetradecanoate (n-C14:0),outer,Import,Diffusion,TTDCAtexi,b2344
528,ttdca,Tetradecanoate (n-C14:0),inner,Import,ATP-binding cassette transporter,FACOAL140t2pp,"b1701, b1805"
529,met__D,D-Methionine,inner,Import,ATP-binding cassette transporter,METDabcpp,"b0197, b0198, b0199"
530,met__D,D-Methionine,outer,Import and Export,Diffusion,METDtex,"b1377, b0929, b2215, b0241"
531,mnl,D-Mannitol,inner,Import,PEP group translocation,MNLptspp,"b2704, b2702, b2416, b2415, b2933, b3599, b2934, b2703"
532,mnl,D-Mannitol,outer,Import and Export,Diffusion,MNLtex,"b1377, b0929, b2215, b0241"
533,pro__L,L-Proline,inner,Import,ATP-binding cassette transporter,PROabcpp,"b2677, b2679, b2678"
534,pro__L,L-Proline,outer,Import and Export,Diffusion,PROtex,"b1377, b0929, b2215, b0241"
535,pro__L,L-Proline,inner,Import,Sodium symport,PROt4pp,b1015
536,pro__L,L-Proline,inner,Import and Export,Proton symport,PROt2rpp,"b4111, b0402"
537,ocdcea,Octadecenoate (n-C18:1),outer,Import,Diffusion,OCDCEAtexi,b2344
538,ocdcea,Octadecenoate (n-C18:1),inner,Import,ATP-binding cassette transporter,FACOAL181t2pp,"b1701, b1805"
539,g6p,D-Glucose 6-phosphate,outer,Import and Export,Diffusion,G6Ptex,"b1377, b0929, b2215, b0241"
540,g6p,D-Glucose 6-phosphate,inner,Import,pi antiporter,G6Pt6_2pp,b3666
541,tungs,Tungstate,outer,Import and Export,Diffusion,TUNGStex,"b1377, b0241, b0929, b2215"
542,tungs,Tungstate,inner,Import,ATP-binding cassette transporter,TUNGSabcpp,"b0765, b0763, b0764"
543,mobd,Molybdate,outer,Import and Export,Diffusion,MOBDtex,"b1377, b0929, b2215, b0241"
544,mobd,Molybdate,inner,Import,ATP-binding cassette transporter,MOBDabcpp,"b2425, b2424, b0763, b3917, b0764, b2423, b2422, b0765"
545,ni2,Nickel,inner,Import,ATP-binding cassette transporter,NI2uabcpp,"b3479, b3476, b3478, b3477, b4242, b3480"
546,ni2,Nickel,inner,Import,Diffusion,NI2tpp,b3816
547,ni2,Nickel,inner,Export,Proton antiport,NI2t3pp,"b0752, b3915"
548,ni2,Nickel,inner,Export,ATP-binding cassette transporter,NI2abcpp,b3469
