,Metabolite,Carbon source,Rate [mmol/gDW/h],Std.Err [mmol/gDW/h],Species,Dataset
318,Glyceraldehyde-3-phosphate,Glucose,0.0005390129769866,1.72118313315537e-05,E. coli,Paczia-13
319,Glyceraldehyde-3-phosphate,Glucose,2.1583649062322897e-05,7.42749985639697e-07,C. glutamicum,Paczia-13
320,Glyceraldehyde-3-phosphate,Glucose,0.000411309274751,2.5835983233483105e-05,B. licheniformis,Paczia-13
321,2-phosphoglycerate,Glucose,0.0003494926533841,1.6687742943817196e-05,E. coli,Paczia-13
322,2-phosphoglycerate,Glucose,0.0001631100453825,6.643134272703598e-06,C. glutamicum,Paczia-13
323,2-phosphoglycerate,Glucose,0.0013840241717529,0.0001271767610841,B. licheniformis,Paczia-13
324,3-phosphoglycerate,Glucose,0.0003494926533841,1.6687742943817196e-05,E. coli,Paczia-13
325,3-phosphoglycerate,Glucose,0.0001631100453825,6.643134272703598e-06,C. glutamicum,Paczia-13
326,3-phosphoglycerate,Glucose,0.0013840241717529,0.0001271767610841,B. licheniformis,Paczia-13
327,Phosphoenolpyruvate,Glucose,0.000216067694908,1.7338606704126875e-05,E. coli,Paczia-13
328,Phosphoenolpyruvate,Glucose,0.0010464257014335,4.6076232219507266e-05,B. licheniformis,Paczia-13
329,Ribose-5-phosphate,Glucose,0.0002984551018772,1.9559095975555388e-05,E. coli,Paczia-13
330,Ribose-5-phosphate,Glucose,2.825734505885241e-05,2.030227017621498e-06,C. glutamicum,Paczia-13
331,Ribose-5-phosphate,Glucose,0.0013268968489022,2.8924111963397286e-05,B. licheniformis,Paczia-13
332,Ribulose-5-phosphate,Glucose,7.010314638442496e-05,4.776934301941201e-06,E. coli,Paczia-13
333,Ribulose-5-phosphate,Glucose,7.107593306994488e-06,9.23400919308584e-07,C. glutamicum,Paczia-13
334,Ribulose-5-phosphate,Glucose,0.0002782057475445,7.327855127134391e-06,B. licheniformis,Paczia-13
335,Xylulose-5-phosphate,Glucose,7.010314638442496e-05,4.776934301941201e-06,E. coli,Paczia-13
336,Xylulose-5-phosphate,Glucose,7.107593306994488e-06,9.23400919308584e-07,C. glutamicum,Paczia-13
337,Xylulose-5-phosphate,Glucose,0.0002782057475445,7.327855127134391e-06,B. licheniformis,Paczia-13
338,Erythrose-4-phosphate,Glucose,4.826920242832533e-05,4.590248737058869e-06,E. coli,Paczia-13
339,Erythrose-4-phosphate,Glucose,0.0001165901645483,1.0092090063636403e-05,C. glutamicum,Paczia-13
340,Erythrose-4-phosphate,Glucose,2.8484349990526747e-05,1.1965877742103327e-06,B. licheniformis,Paczia-13
341,Oxaloacetate,Glucose,0.0003448268470852,5.611645161542768e-05,E. coli,Paczia-13
342,Threonine,Glucose,0.0001169792860972,7.418340065416461e-06,E. coli,Paczia-13
343,Threonine,Glucose,6.374127297561413e-05,1.891751661635451e-05,C. glutamicum,Paczia-13
344,Homoserine,Glucose,0.0001201703719316,5.409932218881139e-06,E. coli,Paczia-13
345,Homoserine,Glucose,0.0004189586633031,8.749108613144822e-06,C. glutamicum,Paczia-13
346,Homoserine,Glucose,0.000423545663472,2.8644647050187243e-05,B. licheniformis,Paczia-13
347,Tryptophan,Glucose,2.222142984163311e-05,1.506342848049735e-06,E. coli,Paczia-13
348,Histidine,Glucose,0.0010093162735949,0.0002244600876974,E. coli,Paczia-13
349,Histidine,Glucose,-0.0001646934916345,2.9806594851743508e-05,B. licheniformis,Paczia-13
350,Arginine,Glucose,0.0020576151167197,0.000218401877581,E. coli,Paczia-13
351,Orotate,Glucose,0.1270332053879417,0.0086703945607039,E. coli,Paczia-13
352,Orotate,Glucose,0.0002991184645732,6.879092307890988e-05,B. licheniformis,Paczia-13
353,Orotate,Glucose,0.0010432897064699,0.0002635111702626,S. cerevisiae,Paczia-13
354,Fumarate,Glucose,0.0005535652642159,8.739075644399363e-05,E. coli,Paczia-13
355,Fumarate,Glucose,0.0065998586818851,0.0007459388393162,B. licheniformis,Paczia-13
356,Fumarate,Glucose,0.0001989106199172,2.4534818203401193e-05,S. cerevisiae,Paczia-13
357,Uracil,Glucose,0.0142093170465416,0.0030044924586253,E. coli,Paczia-13
358,Uracil,Glucose,0.0055198337063765,0.0007190023575938,B. licheniformis,Paczia-13
359,Alpha-ketoglutarate,Glucose,0.0035487840130435,0.0009996990089492,E. coli,Paczia-13
360,Alpha-ketoglutarate,Glucose,0.0142530794853489,0.0011973280991825,B. licheniformis,Paczia-13
361,Alpha-ketoglutarate,Glucose,0.0019668952775509,0.0007547354060725,S. cerevisiae,Paczia-13
362,Sedoheptulose 7-phosphate,Glucose,1.9448055954424095e-05,1.2986333622024596e-06,C. glutamicum,Paczia-13
363,Shikimate,Glucose,0.0004682622914486,6.555829409918104e-05,B. licheniformis,Paczia-13
364,Ethanol,Glucose,8.00292975321067,0.340528102372254,S. cerevisiae,Paczia-13
